Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Fitness,Best_So_far
0,0,0.9344988186504866,3.3938885782845416,0.28540799187054433,1.0,1.0,2.0,0.7805650462265437,4.0440805535123525,2.986190246254754,7.561255168177199,13.0,17.0,33.0,0.7281760869752719,147.5306470659125,147.5306470659125
0,1,7.357705636003887,2.126963165904927,3.9942964826857406,8.0,4.0,2.0,0.2676237670086167,1.3819356799738436,2.8828741923147625,4.243301255545773,31.0,29.0,33.0,0.22789051431232343,795.1690230679282,795.1690230679282
0,2,4.063924995980691,6.913980185511109,0.4152195486053112,7.0,4.0,4.0,0.08594293318648738,7.686343508356544,3.825249322151026,6.526389879732843,19.0,40.0,11.0,0.4035899219518613,4064.5175724219675,4064.5175724219675
0,3,0.06323413880180762,9.511789867173306,7.259365099637373,1.0,7.0,6.0,0.4731777831941111,8.54221611088982,7.123552352376335,7.888147709510247,20.0,31.0,38.0,0.09637498282335588,3603.8749048483787,4064.5175724219675
0,4,7.275244003380195,9.766464756280826,2.350664647618488,9.0,5.0,10.0,0.4795696633035902,2.208564465140588,9.761665645332087,3.4584383093798965,31.0,35.0,39.0,0.9581793395984058,1392.603307718289,4064.5175724219675
0,5,5.030358285090988,3.983211589210136,4.081603776162094,3.0,1.0,10.0,0.36544723466853046,5.314618820257094,7.84853513317705,9.302204701619806,28.0,32.0,21.0,0.4269561822839816,373.0987906522808,4064.5175724219675
0,6,0.6806653150654518,0.37325456717355876,5.240742688238482,8.0,6.0,3.0,0.5405574165318214,9.34962256233821,5.562507283519782,8.585084992490062,29.0,24.0,28.0,0.6637048764880336,673.0467987557562,4064.5175724219675
0,7,4.015390684588375,5.079054227229952,8.700161047485944,5.0,3.0,7.0,0.7374050350042382,5.937538852274249,9.999482623448875,1.8977806922930895,35.0,13.0,18.0,0.7554708076563832,571.6071675914078,4064.5175724219675
0,8,3.077277061323307,8.157019187154381,3.2794669584383263,7.0,7.0,1.0,0.5063228826520463,5.207673421850057,1.5252886133203802,2.8935213323290956,26.0,23.0,14.0,0.3533100241389473,3833.5371070542637,4064.5175724219675
0,9,6.998756709225758,6.6125307197465055,9.560119943559792,3.0,5.0,5.0,0.7007751383508186,8.364963444065127,2.7015259937798533,3.2947984436902376,22.0,35.0,22.0,0.5930938354329083,2682.9310663377714,4064.5175724219675
1,0,0.9344988186504866,3.3938885782845416,0.28540799187054433,1.0,1.0,2.0,0.7805650462265437,4.0440805535123525,2.986190246254754,7.561255168177199,13.0,17.0,33.0,0.7281760869752719,147.5306470659125,4064.5175724219675
1,1,7.357705636003887,2.126963165904927,3.9942964826857406,8.0,4.0,2.0,0.2676237670086167,1.3819356799738436,2.8828741923147625,4.243301255545773,31.0,29.0,33.0,0.22789051431232343,795.1690230679282,4064.5175724219675
1,2,4.063924995980691,6.913980185511109,0.4152195486053112,7.0,4.0,4.0,0.08594293318648738,7.686343508356544,3.825249322151026,6.526389879732843,19.0,40.0,11.0,0.4035899219518613,4064.5175724219675,4064.5175724219675
