Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Fitness,Best_So_far
0,0,9.303560552618734,6.2553585110249434,2.8594598483555633,29.0,25.0,17.0,0.0552119941519682,0.2946768930568844,1.2468737143477537,1.7596005800018866,53.0,75.0,67.0,0.5273889198844645,241.09940625104946,241.09940625104946
0,1,5.156165763818211,8.602988954244534,4.732910433397435,44.0,13.0,40.0,0.7068276497067723,7.670147343060286,9.341856141676107,7.049325935872578,85.0,68.0,91.0,0.42870008315301955,7822.543249248049,7822.543249248049
0,2,9.13835471486483,3.401003547305975,0.8718145934988775,29.0,25.0,21.0,0.7094830127577741,1.1794464799923354,2.258654957472772,7.515282314927082,51.0,62.0,82.0,0.8877654857071229,11.472165298705603,7822.543249248049
0,3,6.80620513154949,9.3519577511024,3.8403975233581145,20.0,5.0,16.0,0.9313041567454635,6.613585223091628,4.895054999326338,9.017842855412805,76.0,92.0,51.0,0.704847170834228,8139.506060858103,8139.506060858103
0,4,6.909309905111862,5.179791438141583,6.145462726682254,6.0,49.0,14.0,0.769874181612265,8.446785005031865,6.421184772011457,3.6517316543754186,79.0,67.0,92.0,0.6742401211169673,4577.123279271041,8139.506060858103
0,5,0.18734546095889315,1.9593549064606974,3.9528964125562283,6.0,34.0,26.0,0.49817990178450067,9.206168664757806,7.508287564199404,6.014360697049694,77.0,66.0,89.0,0.5938053857001839,6505.9585705493855,8139.506060858103
0,6,9.478053656797588,5.780568724748779,4.550953751810108,24.0,14.0,22.0,0.060831673516086426,5.482379629145551,3.8022458026476977,0.3733846549264863,96.0,97.0,58.0,0.3055624185196184,5355.050886372394,8139.506060858103
0,7,9.691530772832976,0.9271923825836614,6.788745473951428,6.0,42.0,30.0,0.1870829292297368,0.9869646293768486,1.5567553643698318,0.1654627564193989,72.0,81.0,54.0,0.9767607765474388,781.5902295392588,8139.506060858103
0,8,8.996841131758345,6.6361638620889005,3.8916985877360064,12.0,23.0,5.0,0.8408866593364792,0.9555014554951824,1.3349241763061015,1.1183018790839705,78.0,87.0,81.0,0.9846591764071077,5650.837841344433,8139.506060858103
0,9,8.182217288252962,4.144884027672553,1.6618090556234422,10.0,35.0,6.0,0.7910838220869977,6.968779664789924,7.38233903827331,7.668807296269104,81.0,73.0,74.0,0.22501662503126796,8056.049871195776,8139.506060858103
1,0,9.303560552618734,6.2553585110249434,2.8594598483555633,29.0,25.0,17.0,0.0552119941519682,0.2946768930568844,1.2468737143477537,1.7596005800018866,53.0,75.0,67.0,0.5273889198844645,241.09940625104946,8139.506060858103
1,1,5.156165763818211,8.602988954244534,4.732910433397435,44.0,13.0,40.0,0.7068276497067723,7.670147343060286,9.341856141676107,7.049325935872578,85.0,68.0,91.0,0.42870008315301955,7822.543249248049,8139.506060858103
1,2,9.13835471486483,3.401003547305975,0.8718145934988775,29.0,25.0,21.0,0.7094830127577741,1.1794464799923354,2.258654957472772,7.515282314927082,51.0,62.0,82.0,0.8877654857071229,11.472165298705603,8139.506060858103
1,3,6.80620513154949,9.3519577511024,3.8403975233581145,20.0,5.0,16.0,0.9313041567454635,6.613585223091628,4.895054999326338,9.017842855412805,76.0,92.0,51.0,0.704847170834228,8139.506060858103,8139.506060858103
1,4,6.909309905111862,5.179791438141583,6.145462726682254,6.0,49.0,14.0,0.769874181612265,8.446785005031865,6.421184772011457,3.6517316543754186,79.0,67.0,92.0,0.6742401211169673,4577.123279271041,8139.506060858103
1,5,0.18734546095889315,1.9593549064606974,3.9528964125562283,6.0,34.0,26.0,0.49817990178450067,9.206168664757806,7.508287564199404,6.014360697049694,77.0,66.0,89.0,0.5938053857001839,6505.9585705493855,8139.506060858103
1,6,9.478053656797588,5.780568724748779,4.550953751810108,24.0,14.0,22.0,0.060831673516086426,5.482379629145551,3.8022458026476977,0.3733846549264863,96.0,97.0,58.0,0.3055624185196184,5355.050886372394,8139.506060858103
1,7,9.691530772832976,0.9271923825836614,6.788745473951428,6.0,42.0,30.0,0.1870829292297368,0.9869646293768486,1.5567553643698318,0.1654627564193989,72.0,81.0,54.0,0.9767607765474388,781.5902295392588,8139.506060858103
1,8,8.996841131758345,6.6361638620889005,3.8916985877360064,12.0,23.0,5.0,0.8408866593364792,0.9555014554951824,1.3349241763061015,1.1183018790839705,78.0,87.0,81.0,0.9846591764071077,5650.837841344433,8139.506060858103
1,9,8.182217288252962,4.144884027672553,1.6618090556234422,10.0,35.0,6.0,0.7910838220869977,6.968779664789924,7.38233903827331,7.668807296269104,81.0,73.0,74.0,0.22501662503126796,8056.049871195776,8139.506060858103
2,0,6.360970098564338,10.0,4.580733273044847,17.0,5.0,16.0,0.7958761162891335,8.676321720592922,5.9089922333805145,10.0,83.0,98.0,51.0,1.0,6254.129796531157,8139.506060858103
2,1,6.76453588348447,9.644987937631361,3.492951259368069,20.0,5.0,17.0,0.698086855366646,6.75207202692231,4.865344646695497,9.210919829510742,77.0,91.0,52.0,0.31476599643201764,8697.719527011714,8697.719527011714
2,2,6.793874158363888,8.247131994386198,3.4120796839560494,22.0,8.0,16.0,1.0,6.355371597072473,4.733771354433253,8.924774467229643,73.0,88.0,55.0,0.44949405199591497,11607.2651465483,11607.2651465483
2,3,7.040825433634745,9.379175744294976,3.830206531219824,20.0,5.0,16.0,1.0,6.713868191347135,4.681260426296556,8.54099412926783,76.0,92.0,51.0,0.975253197067129,6934.421672281513,11607.2651465483
2,4,6.509782369263781,9.24322766844681,3.3513543205655107,21.0,5.0,17.0,1.0,6.15892999750323,4.305854504795328,9.164463722888858,76.0,94.0,51.0,0.849343037260755,7327.104490339562,11607.2651465483
2,5,2.647351470527913,4.556296143373332,4.2717432666621855,11.0,25.0,23.0,0.5762239724735766,8.066107923589794,6.3561409981348405,7.315093304987654,77.0,74.0,77.0,0.42826435182757006,8689.830932568146,11607.2651465483
2,6,7.381516991469326,8.972181439110244,4.002015036007217,20.0,5.0,16.0,1.0,6.5906073284126165,4.395661803042584,8.817747453928149,77.0,92.0,51.0,0.861021724986285,8063.461355658285,11607.2651465483
2,7,8.163558109779995,4.954426001672575,5.364067835298028,13.0,25.0,23.0,0.3952587430401989,3.5133887126123238,2.653914479437545,3.8461397031806577,74.0,86.0,53.0,1.0,6596.488799478632,11607.2651465483
2,8,8.729625782745874,7.1748082670572435,4.113723003399595,14.0,19.0,8.0,1.0,2.3382719082753574,1.9624377871735776,3.285288878167216,78.0,88.0,74.0,0.5491055990376275,5732.7408303772345,11607.2651465483
2,9,6.714506889452117,7.67071737043948,3.1136005322094387,17.0,13.0,13.0,0.8615352366241544,6.375525695816366,5.838405357124072,8.920971497364404,77.0,88.0,56.0,0.9812907957850265,6369.759080554816,11607.2651465483
3,0,5.023892015463554,10.0,5.07904178953131,13.0,5.0,15.0,1.0,10.0,7.875687181025972,10.0,95.0,100.0,51.0,1.0,8130.8138337938235,11607.2651465483
