Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Fitness,Best_So_far
0,0,5.0,15.0,0.6377214211923442,326.13839740290535,326.13839740290535
0,1,2.0,19.0,0.02965796246295871,911.7187971723185,911.7187971723185
0,2,7.0,39.0,0.05266283435908281,838.9033193366641,911.7187971723185
0,3,5.0,23.0,0.9243054165293721,856.0944311369918,911.7187971723185
0,4,8.0,32.0,0.3845820854902223,3336.0905617460962,3336.0905617460962
0,5,5.0,27.0,0.34551253348368216,1051.1045257222656,3336.0905617460962
0,6,5.0,34.0,0.04193700536885814,780.5909243116829,3336.0905617460962
0,7,6.0,18.0,0.34457095319188713,342.5584696768301,3336.0905617460962
0,8,7.0,25.0,0.3491918409248609,1325.7876354123773,3336.0905617460962
0,9,3.0,37.0,0.213551396348984,798.6447618794515,3336.0905617460962
1,0,5.0,15.0,0.6377214211923442,326.13839740290535,3336.0905617460962
1,1,2.0,19.0,0.02965796246295871,911.7187971723185,3336.0905617460962
1,2,7.0,39.0,0.05266283435908281,838.9033193366641,3336.0905617460962
1,3,5.0,23.0,0.9243054165293721,856.0944311369918,3336.0905617460962
1,4,8.0,32.0,0.3845820854902223,3336.0905617460962,3336.0905617460962
1,5,5.0,27.0,0.34551253348368216,1051.1045257222656,3336.0905617460962
1,6,5.0,34.0,0.04193700536885814,780.5909243116829,3336.0905617460962
1,7,6.0,18.0,0.34457095319188713,342.5584696768301,3336.0905617460962
1,8,7.0,25.0,0.3491918409248609,1325.7876354123773,3336.0905617460962
1,9,3.0,37.0,0.213551396348984,798.6447618794515,3336.0905617460962
2,0,9.0,38.0,0.07073339742862161,798.6447618794515,3336.0905617460962
2,1,5.0,27.0,0.28773280463802964,600.2640474305605,3336.0905617460962
2,2,8.0,30.0,0.22926321075341238,1279.083164736036,3336.0905617460962
2,3,9.0,34.0,0.32163400839519996,1827.050675261674,3336.0905617460962
2,4,8.0,32.0,0.7911928769575798,1426.8939372651957,3336.0905617460962
2,5,9.0,34.0,0.08964689196101466,805.5212235569256,3336.0905617460962
2,6,10.0,31.0,0.3135458220812818,3346.131121399282,3346.131121399282
2,7,8.0,36.0,0.296314571028926,1107.0559286875912,3346.131121399282
2,8,8.0,33.0,0.17067753935504598,532.0846762168351,3346.131121399282
2,9,4.0,36.0,0.07766075719271287,825.1503959817157,3346.131121399282
3,0,10.0,40.0,0.0,802.920670777081,3346.131121399282
3,1,8.0,29.0,0.30564992282717474,1672.960669482794,3346.131121399282
3,2,10.0,26.0,0.38666921028934187,2987.499706471943,3346.131121399282
3,3,10.0,38.0,0.016831288928105814,795.1690230679282,3346.131121399282
3,4,9.0,32.0,0.23977377717715065,2148.9550424074287,3346.131121399282
3,5,7.0,24.0,0.6184266731299632,1316.402702269503,3346.131121399282
3,6,10.0,30.0,0.4493502304374936,2462.8014239502595,3346.131121399282
3,7,10.0,39.0,0.2919614499546245,2820.4055443106454,3346.131121399282
3,8,9.0,34.0,0.1818297852771032,568.9164250646013,3346.131121399282
3,9,8.0,33.0,0.1466268250339529,706.177972101527,3346.131121399282
4,0,10.0,40.0,0.028817448951274277,838.9033193366641,3346.131121399282
4,1,10.0,33.0,0.32509563755365195,3453.0672998445298,3453.0672998445298
4,2,10.0,29.0,0.3946005176924616,2109.180813581035,3453.0672998445298
4,3,10.0,26.0,0.6541549078342194,1203.981698969894,3453.0672998445298
4,4,9.0,31.0,0.17296877202765415,335.19343329424515,3453.0672998445298
4,5,10.0,27.0,0.5146096059563943,1712.1635114559917,3453.0672998445298
4,6,10.0,30.0,0.3737196971053613,4447.316321584537,4447.316321584537
4,7,10.0,37.0,0.2991020024776016,2643.8106604986624,4447.316321584537
4,8,8.0,28.0,0.33489749186386797,1193.867442767027,4447.316321584537
4,9,10.0,32.0,0.17800974425389554,872.7782621198141,4447.316321584537
5,0,10.0,40.0,0.06286636188379455,789.8929015626661,4447.316321584537
5,1,10.0,32.0,0.37835510184618687,4914.326978109453,4914.326978109453
5,2,10.0,28.0,0.3615497273167171,2710.6856109120295,4914.326978109453
5,3,9.0,31.0,0.47395907724900277,2719.7264817761256,4914.326978109453
5,4,9.0,30.0,0.6460713212600457,1107.0324663446745,4914.326978109453
5,5,10.0,33.0,0.260263602900912,2143.115309532181,4914.326978109453
5,6,10.0,30.0,0.33590443043929513,4821.209916484667,4914.326978109453
5,7,10.0,28.0,0.40150663407949855,2484.5527005596377,4914.326978109453
5,8,9.0,26.0,0.4468138945747736,3289.440364501711,4914.326978109453
5,9,10.0,30.0,0.31811366272533165,2432.697500347225,4914.326978109453
6,0,10.0,39.0,0.08689310349961409,791.7432948867865,4914.326978109453
6,1,10.0,32.0,0.40498483399245433,3212.2248065939416,4914.326978109453
6,2,10.0,30.0,0.36925865423742393,4240.558530637637,4914.326978109453
6,3,10.0,35.0,0.2694077396948718,1304.8415152466978,4914.326978109453
6,4,9.0,31.0,0.7392879855163347,1148.2262947190418,4914.326978109453
6,5,10.0,36.0,0.13735968233121842,680.7487529157585,4914.326978109453
6,6,10.0,31.0,0.32820287910266527,4494.050616090997,4914.326978109453
6,7,10.0,40.0,0.29189598398639033,3281.4678502412803,4914.326978109453
6,8,10.0,29.0,0.45461341515137754,1445.531398028829,4914.326978109453
6,9,10.0,31.0,0.4477401103430091,3556.1244745108115,4914.326978109453
7,0,10.0,35.0,0.23369460221151606,2036.0534039667943,4914.326978109453
7,1,10.0,32.0,0.3886964249173742,3534.191400969877,4914.326978109453
7,2,10.0,34.0,0.385521234804081,3587.199214014824,4914.326978109453
7,3,9.0,31.0,0.4131452141220443,5367.274456133008,5367.274456133008
7,4,9.0,34.0,0.00100493548617131,875.6111220367812,5367.274456133008
7,5,10.0,33.0,0.25051440771460487,1624.541596122549,5367.274456133008
7,6,10.0,31.0,0.3536084559255022,6029.892032772463,6029.892032772463
7,7,10.0,35.0,0.35542929406724116,3563.4962414063066,6029.892032772463
7,8,10.0,32.0,0.4055937471243752,3213.766385322204,6029.892032772463
7,9,10.0,33.0,0.42827803786184604,3506.6280050990176,6029.892032772463
8,0,10.0,32.0,0.34506184458610434,5613.358210704187,6029.892032772463
8,1,10.0,31.0,0.3278599698606254,4494.050616090997,6029.892032772463
8,2,10.0,33.0,0.3759486597868654,3850.6072536633546,6029.892032772463
8,3,9.0,29.0,0.44470173370034366,1995.929943428344,6029.892032772463
8,4,9.0,34.0,0.0,875.6111220367812,6029.892032772463
8,5,10.0,29.0,0.4658433898528852,1776.2019425480755,6029.892032772463
8,6,10.0,31.0,0.3663112443369207,5462.343638385849,6029.892032772463
8,7,10.0,31.0,0.3866330370642672,5000.428011293455,6029.892032772463
8,8,9.0,24.0,0.37002911248823184,1329.8098499380708,6029.892032772463
8,9,10.0,30.0,0.3245209004844368,4503.479892863191,6029.892032772463
9,0,10.0,30.0,0.4078427756921379,4039.6353513902955,6029.892032772463
9,1,10.0,31.0,0.323310607914485,4628.060509640496,6029.892032772463
9,2,10.0,26.0,0.3383280952899192,1486.7039097935433,6029.892032772463
9,3,9.0,28.0,0.45375452514072123,2030.070502096192,6029.892032772463
9,4,9.0,30.0,0.4507647994415952,2115.870370109936,6029.892032772463
9,5,10.0,30.0,0.39139318127716594,5379.012596230958,6029.892032772463
9,6,10.0,31.0,0.35087174469746313,4999.985798406163,6029.892032772463
9,7,10.0,29.0,0.3995632334898672,2374.5604238487717,6029.892032772463
9,8,10.0,30.0,0.4028159065505686,4622.43643304926,6029.892032772463
9,9,10.0,29.0,0.2853134316838723,2330.7630735523767,6029.892032772463
10,0,10.0,29.0,0.424043974825196,2283.7370196717484,6029.892032772463
10,1,10.0,31.0,0.3811019461815903,4670.273333045292,6029.892032772463
10,2,10.0,28.0,0.3383884334663973,2830.394985837786,6029.892032772463
10,3,10.0,32.0,0.3368905207182856,5528.707576147762,6029.892032772463
10,4,8.0,30.0,0.5881524083728888,1044.3401108000082,6029.892032772463
10,5,10.0,31.0,0.34752073603401273,5729.402684392853,6029.892032772463
10,6,10.0,31.0,0.34862902276161745,5353.846677097787,6029.892032772463
10,7,10.0,31.0,0.38301231782280953,5045.657589396841,6029.892032772463
10,8,10.0,34.0,0.37327760098346113,3837.541546555355,6029.892032772463
10,9,10.0,31.0,0.335509844446828,4739.829267284047,6029.892032772463
11,0,10.0,31.0,0.3778506333331233,4694.522021893054,6029.892032772463
11,1,10.0,31.0,0.3931832132988588,4336.233063750424,6029.892032772463
11,2,10.0,30.0,0.3556139883140948,5283.750555387493,6029.892032772463
11,3,10.0,34.0,0.27939791691123583,2109.6477587468,6029.892032772463
11,4,8.0,31.0,0.5351141420408924,1886.5043734064614,6029.892032772463
11,5,10.0,31.0,0.3273521199211048,4451.534147296987,6029.892032772463
11,6,10.0,31.0,0.3582067379329172,5595.919311988824,6029.892032772463
11,7,10.0,32.0,0.3343320171561277,5122.900115893978,6029.892032772463
