Iteration,Particle_ID,Dim_0,Dim_1,Fitness,Best_So_far
0,0,2.0,37.0,1880.9581145008358,1880.9581145008358
0,1,3.0,40.0,2606.304473391353,2606.304473391353
0,2,8.0,23.0,4041.645607152985,4041.645607152985
0,3,8.0,31.0,3645.027330797628,4041.645607152985
0,4,6.0,33.0,2129.77218405357,4041.645607152985
0,5,6.0,38.0,4266.343135216165,4266.343135216165
0,6,7.0,36.0,3104.5573174465867,4266.343135216165
0,7,10.0,14.0,111.33781119670736,4266.343135216165
0,8,2.0,22.0,1014.0428245024208,4266.343135216165
0,9,9.0,17.0,464.0158368894725,4266.343135216165
1,0,2.0,37.0,1880.9581145008358,4266.343135216165
1,1,3.0,40.0,2606.304473391353,4266.343135216165
1,2,8.0,23.0,4041.645607152985,4266.343135216165
1,3,8.0,31.0,3645.027330797628,4266.343135216165
1,4,6.0,33.0,2129.77218405357,4266.343135216165
1,5,6.0,38.0,4266.343135216165,4266.343135216165
1,6,7.0,36.0,3104.5573174465867,4266.343135216165
1,7,10.0,14.0,111.33781119670736,4266.343135216165
1,8,2.0,22.0,1014.0428245024208,4266.343135216165
1,9,9.0,17.0,464.0158368894725,4266.343135216165
2,0,6.0,38.0,4266.343135216165,4266.343135216165
2,1,8.0,37.0,3912.025390842543,4266.343135216165
2,2,5.0,40.0,2957.5126331566084,4266.343135216165
2,3,7.0,37.0,3562.002445744202,4266.343135216165
2,4,6.0,37.0,3577.387950099916,4266.343135216165
2,5,6.0,38.0,4266.343135216165,4266.343135216165
2,6,6.0,38.0,4266.343135216165,4266.343135216165
2,7,7.0,29.0,2985.2663934936136,4266.343135216165
2,8,7.0,40.0,4341.41470204023,4341.41470204023
2,9,6.0,39.0,3948.738503872098,4341.41470204023
3,0,8.0,39.0,3860.1899758135996,4341.41470204023
3,1,10.0,36.0,3821.899899773792,4341.41470204023
3,2,8.0,39.0,3860.1899758135996,4341.41470204023
3,3,7.0,37.0,3562.002445744202,4341.41470204023
3,4,7.0,40.0,4341.41470204023,4341.41470204023
3,5,7.0,40.0,4341.41470204023,4341.41470204023
3,6,7.0,40.0,4341.41470204023,4341.41470204023
3,7,6.0,40.0,4177.6726719037915,4341.41470204023
3,8,10.0,40.0,11240.429591303922,11240.429591303922
3,9,5.0,40.0,2957.5126331566084,11240.429591303922
4,0,7.0,39.0,3614.98058374451,11240.429591303922
4,1,9.0,37.0,3817.618548579945,11240.429591303922
4,2,10.0,21.0,3717.7071061598235,11240.429591303922
4,3,10.0,39.0,12126.475327188895,12126.475327188895
4,4,9.0,40.0,7707.868207043693,12126.475327188895
4,5,10.0,40.0,11240.429591303922,12126.475327188895
4,6,10.0,40.0,11240.429591303922,12126.475327188895
4,7,10.0,40.0,11240.429591303922,12126.475327188895
4,8,10.0,40.0,11240.429591303922,12126.475327188895
4,9,7.0,40.0,4341.41470204023,12126.475327188895
5,0,9.0,38.0,3590.173483398007,12126.475327188895
5,1,9.0,39.0,3976.4602349233664,12126.475327188895
5,2,10.0,29.0,3596.422570535327,12126.475327188895
5,3,10.0,40.0,11240.429591303922,12126.475327188895
5,4,10.0,40.0,11240.429591303922,12126.475327188895
5,5,10.0,40.0,11240.429591303922,12126.475327188895
5,6,10.0,40.0,11240.429591303922,12126.475327188895
5,7,10.0,40.0,11240.429591303922,12126.475327188895
5,8,10.0,40.0,11240.429591303922,12126.475327188895
5,9,8.0,40.0,4710.526872053284,12126.475327188895
6,0,7.0,37.0,3562.002445744202,12126.475327188895
6,1,10.0,40.0,11240.429591303922,12126.475327188895
6,2,8.0,28.0,2536.872889607218,12126.475327188895
6,3,10.0,38.0,9213.222420669079,12126.475327188895
6,4,10.0,40.0,11240.429591303922,12126.475327188895
6,5,10.0,38.0,9213.222420669079,12126.475327188895
6,6,10.0,39.0,12126.475327188895,12126.475327188895
6,7,10.0,40.0,11240.429591303922,12126.475327188895
6,8,10.0,40.0,11240.429591303922,12126.475327188895
6,9,10.0,40.0,11240.429591303922,12126.475327188895
7,0,8.0,39.0,3860.1899758135996,12126.475327188895
7,1,10.0,40.0,11240.429591303922,12126.475327188895
7,2,7.0,27.0,2402.2764320993597,12126.475327188895
7,3,10.0,39.0,12126.475327188895,12126.475327188895
7,4,10.0,39.0,12126.475327188895,12126.475327188895
7,5,10.0,39.0,12126.475327188895,12126.475327188895
7,6,10.0,39.0,12126.475327188895,12126.475327188895
7,7,10.0,40.0,11240.429591303922,12126.475327188895
7,8,10.0,39.0,12126.475327188895,12126.475327188895
7,9,10.0,39.0,12126.475327188895,12126.475327188895
8,0,8.0,39.0,3860.1899758135996,12126.475327188895
8,1,10.0,40.0,11240.429591303922,12126.475327188895
8,2,8.0,24.0,5092.9587166359215,12126.475327188895
8,3,10.0,39.0,12126.475327188895,12126.475327188895
8,4,10.0,38.0,9213.222420669079,12126.475327188895
8,5,10.0,39.0,12126.475327188895,12126.475327188895
8,6,10.0,39.0,12126.475327188895,12126.475327188895
8,7,10.0,38.0,9213.222420669079,12126.475327188895
8,8,10.0,39.0,12126.475327188895,12126.475327188895
8,9,10.0,39.0,12126.475327188895,12126.475327188895
9,0,8.0,38.0,3663.8171590972893,12126.475327188895
9,1,10.0,39.0,12126.475327188895,12126.475327188895
9,2,9.0,24.0,5405.7733583778545,12126.475327188895
9,3,10.0,39.0,12126.475327188895,12126.475327188895
9,4,10.0,39.0,12126.475327188895,12126.475327188895
9,5,10.0,39.0,12126.475327188895,12126.475327188895
9,6,10.0,39.0,12126.475327188895,12126.475327188895
9,7,10.0,40.0,11240.429591303922,12126.475327188895
9,8,10.0,39.0,12126.475327188895,12126.475327188895
9,9,10.0,39.0,12126.475327188895,12126.475327188895
10,0,8.0,38.0,3663.8171590972893,12126.475327188895
10,1,10.0,39.0,12126.475327188895,12126.475327188895
10,2,10.0,36.0,3821.899899773792,12126.475327188895
10,3,10.0,39.0,12126.475327188895,12126.475327188895
10,4,10.0,39.0,12126.475327188895,12126.475327188895
10,5,10.0,39.0,12126.475327188895,12126.475327188895
10,6,10.0,39.0,12126.475327188895,12126.475327188895
10,7,10.0,40.0,11240.429591303922,12126.475327188895
10,8,10.0,39.0,12126.475327188895,12126.475327188895
10,9,10.0,39.0,12126.475327188895,12126.475327188895
11,0,6.0,38.0,4266.343135216165,12126.475327188895
11,1,10.0,39.0,12126.475327188895,12126.475327188895
11,2,10.0,38.0,9213.222420669079,12126.475327188895
11,3,10.0,39.0,12126.475327188895,12126.475327188895
11,4,10.0,39.0,12126.475327188895,12126.475327188895
11,5,10.0,39.0,12126.475327188895,12126.475327188895
11,6,10.0,39.0,12126.475327188895,12126.475327188895
11,7,10.0,40.0,11240.429591303922,12126.475327188895
11,8,10.0,39.0,12126.475327188895,12126.475327188895
11,9,10.0,39.0,12126.475327188895,12126.475327188895
12,0,6.0,38.0,4266.343135216165,12126.475327188895
12,1,10.0,39.0,12126.475327188895,12126.475327188895
12,2,10.0,40.0,11240.429591303922,12126.475327188895
12,3,10.0,39.0,12126.475327188895,12126.475327188895
