Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Fitness,Best_So_far
0,0,38.0,66.0,0.1359444767552629,8291.456070985967,8291.456070985967
0,1,7.0,55.0,0.5588171962997924,1895.9058385389803,8291.456070985967
0,2,41.0,79.0,0.7501736486819148,3376.6976647455485,8291.456070985967
0,3,9.0,74.0,0.5686102508638482,5040.516621691752,8291.456070985967
0,4,31.0,77.0,0.8563746970801535,2851.318326966634,8291.456070985967
0,5,25.0,72.0,0.8189668969684344,3576.01490489818,8291.456070985967
0,6,43.0,76.0,0.5665700344410581,3696.755967562647,8291.456070985967
0,7,17.0,90.0,0.7468437814432393,4435.546190059865,8291.456070985967
0,8,14.0,69.0,0.7743830491828683,2882.5933729783383,8291.456070985967
0,9,39.0,59.0,0.8148425166406285,1142.869184228567,8291.456070985967
1,0,38.0,66.0,0.1359444767552629,8291.456070985967,8291.456070985967
1,1,7.0,55.0,0.5588171962997924,1895.9058385389803,8291.456070985967
1,2,41.0,79.0,0.7501736486819148,3376.6976647455485,8291.456070985967
1,3,9.0,74.0,0.5686102508638482,5040.516621691752,8291.456070985967
1,4,31.0,77.0,0.8563746970801535,2851.318326966634,8291.456070985967
1,5,25.0,72.0,0.8189668969684344,3576.01490489818,8291.456070985967
1,6,43.0,76.0,0.5665700344410581,3696.755967562647,8291.456070985967
1,7,17.0,90.0,0.7468437814432393,4435.546190059865,8291.456070985967
1,8,14.0,69.0,0.7743830491828683,2882.5933729783383,8291.456070985967
1,9,39.0,59.0,0.8148425166406285,1142.869184228567,8291.456070985967
2,0,38.0,66.0,0.4641020568624037,6050.509476865542,8291.456070985967
2,1,29.0,62.0,0.08498061433067888,1710.588406038638,8291.456070985967
2,2,38.0,66.0,0.5408028995215111,5221.1855185732975,8291.456070985967
2,3,35.0,67.0,0.45852529292074473,5394.553207540651,8291.456070985967
2,4,33.0,74.0,0.8227369545973234,2827.3144596353713,8291.456070985967
2,5,44.0,63.0,0.2674264440136218,7852.125611544503,8291.456070985967
2,6,39.0,67.0,0.5455666710214153,4503.879251571164,8291.456070985967
2,7,38.0,66.0,0.0,780.0158020622941,8291.456070985967
2,8,36.0,66.0,0.1988094290558312,9496.155610706706,9496.155610706706
2,9,37.0,69.0,0.0,790.9431248006804,9496.155610706706
3,0,36.0,66.0,0.2816849486395795,7807.119942307218,9496.155610706706
3,1,41.0,68.0,0.06124604583782402,1931.9039441106893,9496.155610706706
3,2,35.0,59.0,0.17432396040339126,4835.2995253990575,9496.155610706706
3,3,49.0,62.0,0.13415112207417318,7495.475394726907,9496.155610706706
3,4,35.0,66.0,0.0,780.0158020622941,9496.155610706706
3,5,43.0,62.0,0.0,791.7432948867865,9496.155610706706
3,6,35.0,62.0,0.3256861351830463,5228.817131319613,9496.155610706706
3,7,37.0,64.0,0.1032137973787394,10384.826804108217,10384.826804108217
3,8,47.0,65.0,0.0,780.0158020622941,10384.826804108217
3,9,37.0,69.0,0.0,790.9431248006804,10384.826804108217
4,0,37.0,65.0,0.0,780.0158020622941,10384.826804108217
4,1,44.0,68.0,0.08246994867165447,7942.296313430885,10384.826804108217
4,2,37.0,65.0,0.11100807646192998,10812.7569944325,10812.7569944325
4,3,50.0,61.0,0.0,791.7432948867865,10812.7569944325
4,4,35.0,71.0,0.6159949631109756,4311.453028615321,10812.7569944325
4,5,39.0,64.0,0.16246731603401776,7672.2376540726655,10812.7569944325
4,6,33.0,60.0,0.20901589283835184,5747.412436815254,10812.7569944325
4,7,37.0,63.0,0.1548206960681091,6589.019326963444,10812.7569944325
4,8,43.0,65.0,0.004220089838121097,715.1770197725099,10812.7569944325
4,9,39.0,52.0,1.0,1117.867853659228,10812.7569944325
5,0,38.0,65.0,0.06808200659709689,1975.6587765773022,10812.7569944325
5,1,35.0,63.0,0.1347112740534478,7858.664479240904,10812.7569944325
5,2,38.0,68.0,0.07935013449119933,3960.5034036942725,10812.7569944325
5,3,43.0,63.0,0.07952888793751825,4142.046966545612,10812.7569944325
5,4,35.0,72.0,0.85373124201551,3429.831772725862,10812.7569944325
5,5,41.0,64.0,0.3336481285365541,8441.160603264952,10812.7569944325
5,6,35.0,62.0,0.08549787240973686,4505.933173269323,10812.7569944325
5,7,37.0,64.0,0.13875693547134038,8653.481055360535,10812.7569944325
5,8,27.0,66.0,0.3233633429243277,6485.453469508365,10812.7569944325
5,9,38.0,66.0,0.4130827927626697,6887.05392047767,10812.7569944325
6,0,37.0,66.0,0.23096281807514085,8226.101121148868,10812.7569944325
6,1,39.0,66.0,0.10124548454618049,12047.151966350411,12047.151966350411
6,2,37.0,65.0,0.10595884809155179,11605.300363311051,12047.151966350411
6,3,38.0,65.0,0.17982289217812486,7605.034647364947,12047.151966350411
6,4,35.0,71.0,0.688962610917066,4336.0931328499555,12047.151966350411
6,5,38.0,65.0,0.20391375806664236,7298.0174466029675,12047.151966350411
6,6,37.0,65.0,0.19598236266203858,7981.900279217577,12047.151966350411
6,7,37.0,65.0,0.07565370838485216,3086.828278452242,12047.151966350411
6,8,33.0,65.0,0.19963456849075234,6965.451082423468,12047.151966350411
6,9,37.0,73.0,0.057640898915788163,1685.3534940403913,12047.151966350411
7,0,40.0,67.0,0.10481364328468334,9308.88885822585,12047.151966350411
7,1,41.0,68.0,0.08451258979254683,6925.993281078145,12047.151966350411
7,2,39.0,65.0,0.11327704686597725,11804.688943175375,12047.151966350411
7,3,36.0,67.0,0.20209756877022164,5584.680374518116,12047.151966350411
7,4,37.0,68.0,0.31289604579373126,7447.783639802246,12047.151966350411
7,5,40.0,66.0,0.11845319701318592,11354.182603328813,12047.151966350411
7,6,40.0,68.0,0.14295717628091603,8291.584183400355,12047.151966350411
7,7,39.0,66.0,0.072033394908874,3566.2374902822144,12047.151966350411
7,8,41.0,66.0,0.10690030889314625,10527.079015676172,12047.151966350411
7,9,40.0,62.0,0.29959764893468654,6661.028682006943,12047.151966350411
8,0,40.0,66.0,0.03742695488960543,405.9016506806818,12047.151966350411
8,1,39.0,66.0,0.10316129981134174,12832.018385198136,12832.018385198136
8,2,40.0,66.0,0.10056133411255269,12447.778122410486,12832.018385198136
8,3,39.0,65.0,0.1256400776205101,11541.16475244138,12832.018385198136
8,4,40.0,65.0,0.0,780.0158020622941,12832.018385198136
8,5,41.0,66.0,0.07008131486989971,4713.541181647699,12832.018385198136
8,6,41.0,69.0,0.09758815929585189,6665.042190804148,12832.018385198136
8,7,38.0,64.0,0.11659225558791668,11913.978595079005,12832.018385198136
8,8,43.0,67.0,0.05285728289585746,1897.6457666975023,12832.018385198136
8,9,38.0,66.0,0.23140823771475255,8226.101121148868,12832.018385198136
9,0,39.0,66.0,0.10878964366930205,12184.218521939063,12832.018385198136
9,1,38.0,65.0,0.11248565482073919,10680.589651511766,12832.018385198136
9,2,39.0,67.0,0.09789558720147207,10786.303416797213,12832.018385198136
9,3,40.0,65.0,0.06882643385780093,2640.633137743318,12832.018385198136
9,4,36.0,68.0,0.3335811943572417,7406.311191387651,12832.018385198136
9,5,39.0,66.0,0.0925110004678649,8785.83401495974,12832.018385198136
9,6,40.0,68.0,0.11716958903767065,9083.141560735778,12832.018385198136
9,7,38.0,64.0,0.13196227780696604,8072.209838289432,12832.018385198136
9,8,36.0,65.0,0.14453087773672402,8461.515235672632,12832.018385198136
9,9,38.0,68.0,0.0807667244781898,3993.7569922011226,12832.018385198136
10,0,38.0,66.0,0.14014890588301263,7305.371682817114,12832.018385198136
10,1,40.0,66.0,0.09771591234209634,13566.265981704777,13566.265981704777
10,2,39.0,66.0,0.10185077220356736,12260.265846790146,13566.265981704777
10,3,40.0,66.0,0.07820903485007713,5891.060923276488,13566.265981704777
10,4,35.0,70.0,0.48135543531028857,5584.39095505961,13566.265981704777
10,5,39.0,66.0,0.12617480264191638,10501.486281825832,13566.265981704777
10,6,39.0,67.0,0.12250942115019536,9883.63225364652,13566.265981704777
10,7,39.0,66.0,0.09425203379857075,10681.912348167063,13566.265981704777
10,8,40.0,66.0,0.13220419346471615,8859.553308271294,13566.265981704777
10,9,39.0,66.0,0.11222694944217916,14017.587126479095,14017.587126479095
11,0,38.0,66.0,0.14241445015987358,7278.162549887853,14017.587126479095
11,1,40.0,67.0,0.0961020575352254,10908.756010242365,14017.587126479095
11,2,40.0,65.0,0.1085799994167885,9972.178295003243,14017.587126479095
11,3,39.0,65.0,0.1414386659393129,8748.622200944827,14017.587126479095
11,4,37.0,68.0,0.3166831313951336,7447.783639802246,14017.587126479095
11,5,39.0,66.0,0.12928601962625702,10529.525325742758,14017.587126479095
11,6,39.0,65.0,0.1100684420991042,10994.82906709709,14017.587126479095
11,7,38.0,64.0,0.12262849436369778,10932.746378261361,14017.587126479095
11,8,43.0,66.0,0.0926037747194608,11473.60224646496,14017.587126479095
11,9,39.0,65.0,0.12795706192417383,8887.43732043449,14017.587126479095
12,0,40.0,66.0,0.07024722252157217,3110.354458856282,14017.587126479095
12,1,39.0,65.0,0.11852821287488662,13102.810422149698,14017.587126479095
12,2,39.0,67.0,0.11330753931608022,12442.156283476503,14017.587126479095
12,3,38.0,65.0,0.1513257630561925,7505.834930260225,14017.587126479095
12,4,40.0,65.0,0.013061033942087241,552.6174657170192,14017.587126479095
12,5,40.0,66.0,0.11017878032937231,11962.5621621881,14017.587126479095
12,6,39.0,65.0,0.10520445842831927,10803.917026482888,14017.587126479095
12,7,38.0,64.0,0.1246421329864017,8168.619946303975,14017.587126479095
12,8,39.0,66.0,0.10166891023491402,12054.066840843803,14017.587126479095
12,9,39.0,67.0,0.10371542568281364,7501.429839323221,14017.587126479095
13,0,40.0,66.0,0.06671623839379068,2925.605620807752,14017.587126479095
13,1,39.0,65.0,0.11652036475656864,13074.965673784996,14017.587126479095
13,2,40.0,66.0,0.09958870056354506,13346.411794489206,14017.587126479095
13,3,38.0,65.0,0.13854815670915901,8928.77105714834,14017.587126479095
13,4,39.0,66.0,0.06904529057557413,2631.791548704642,14017.587126479095
13,5,40.0,66.0,0.10202502280927515,13026.97033422001,14017.587126479095
13,6,39.0,66.0,0.11237235613862465,14280.055059381171,14280.055059381171
13,7,39.0,66.0,0.10011588286195805,13836.050822159941,14280.055059381171
13,8,37.0,66.0,0.11429682853904652,11101.274377775919,14280.055059381171
13,9,39.0,66.0,0.11013874989781974,12369.102187490194,14280.055059381171
14,0,38.0,66.0,0.18097149525645895,7381.216809374651,14280.055059381171
14,1,40.0,66.0,0.09270377715465186,10728.346305366093,14280.055059381171
14,2,39.0,66.0,0.10781416461575884,10209.544478250851,14280.055059381171
14,3,39.0,66.0,0.106564782999344,11223.627228909774,14280.055059381171
14,4,37.0,68.0,0.3218776487481625,7406.311191387651,14280.055059381171
14,5,40.0,66.0,0.10034953823136683,12371.708367217972,14280.055059381171
14,6,39.0,67.0,0.11595630499377733,12071.058964072137,14280.055059381171
14,7,40.0,67.0,0.09407057823742926,10030.372326019366,14280.055059381171
14,8,38.0,66.0,0.10980047851775,10410.604329362188,14280.055059381171
14,9,39.0,65.0,0.11589334795862025,11541.627937374491,14280.055059381171
15,0,37.0,66.0,0.19694562759675938,8829.903204200356,14280.055059381171
15,1,39.0,67.0,0.10947760876683917,11477.10123217417,14280.055059381171
15,2,40.0,66.0,0.10462707349044455,11776.970489002115,14280.055059381171
15,3,40.0,65.0,0.1164201477813044,13253.488026475323,14280.055059381171
15,4,39.0,66.0,0.16644546335266208,6482.717736201325,14280.055059381171
15,5,39.0,66.0,0.10874750558688097,12184.218521939063,14280.055059381171
15,6,39.0,66.0,0.11143830276946229,11962.5621621881,14280.055059381171
15,7,38.0,65.0,0.11915277481492748,13658.937735736783,14280.055059381171
15,8,40.0,66.0,0.1101989292682342,11962.5621621881,14280.055059381171
15,9,39.0,66.0,0.11436182012972944,15590.769779262107,15590.769779262107
16,0,37.0,66.0,0.18110983595363808,7381.216809374651,15590.769779262107
16,1,39.0,66.0,0.11846845848318438,12024.883859763446,15590.769779262107
16,2,39.0,66.0,0.10693236797581132,10067.549131270682,15590.769779262107
16,3,40.0,65.0,0.12009814858247372,11288.942861063015,15590.769779262107
16,4,40.0,65.0,0.10456991009670383,11712.07795298445,15590.769779262107
16,5,40.0,66.0,0.1075840636930269,12420.59590802556,15590.769779262107
16,6,39.0,65.0,0.11225186823397741,11804.688943175375,15590.769779262107
16,7,38.0,65.0,0.11935854427474116,13658.937735736783,15590.769779262107
16,8,40.0,66.0,0.10822777825009547,12420.59590802556,15590.769779262107
16,9,39.0,66.0,0.11359605621528404,15590.769779262107,15590.769779262107
17,0,41.0,66.0,0.041803842113440404,755.3492383496775,15590.769779262107
17,1,40.0,66.0,0.09833710271342702,13566.265981704777,15590.769779262107
17,2,39.0,66.0,0.11519770536028803,13338.154014686927,15590.769779262107
17,3,39.0,66.0,0.11322875472107376,15680.868236706616,15680.868236706616
17,4,39.0,66.0,0.08539978188797244,5236.484445044583,15680.868236706616
17,5,40.0,66.0,0.10333952707998197,12681.213002493098,15680.868236706616
17,6,39.0,65.0,0.11278528990957921,11804.688943175375,15680.868236706616
17,7,39.0,66.0,0.0943568245669316,10681.912348167063,15680.868236706616
17,8,39.0,66.0,0.11119166653894548,11962.5621621881,15680.868236706616
17,9,39.0,66.0,0.11500163853475844,13338.154014686927,15680.868236706616
18,0,42.0,66.0,0.02183025060303756,542.3152758584033,15680.868236706616
18,1,40.0,66.0,0.09452469635929205,11309.245517368294,15680.868236706616
18,2,39.0,66.0,0.11885045693123829,10266.407333886018,15680.868236706616
18,3,38.0,67.0,0.10979405779037377,9980.661045908522,15680.868236706616
18,4,39.0,66.0,0.09600317464444152,12168.315422302008,15680.868236706616
18,5,40.0,66.0,0.10626902976857563,11842.371333231178,15680.868236706616
18,6,39.0,67.0,0.1132099593004523,12442.156283476503,15680.868236706616
18,7,40.0,67.0,0.1063970014663444,10645.822390658914,15680.868236706616
18,8,40.0,66.0,0.11026573912577667,11962.5621621881,15680.868236706616
18,9,39.0,66.0,0.11391308161205467,15590.769779262107,15680.868236706616
19,0,35.0,66.0,0.2218248023062131,9195.517701761106,15680.868236706616
19,1,39.0,66.0,0.11875568089954222,10266.407333886018,15680.868236706616
19,2,40.0,66.0,0.09963697751441844,13346.411794489206,15680.868236706616
19,3,39.0,66.0,0.11201995613366886,12490.001657696448,15680.868236706616
19,4,39.0,66.0,0.11612583960946352,13338.154014686927,15680.868236706616
19,5,39.0,66.0,0.11090160551628994,11962.5621621881,15680.868236706616
19,6,39.0,68.0,0.11332376240990165,9979.804607003354,15680.868236706616
19,7,39.0,66.0,0.11826698132000335,11999.329810334191,15680.868236706616
19,8,40.0,66.0,0.10928048806034103,12369.102187490194,15680.868236706616
19,9,39.0,66.0,0.11302927983191767,15523.619698288028,15680.868236706616
20,0,41.0,66.0,0.07341178081058794,4135.238111808464,15680.868236706616
20,1,39.0,66.0,0.10754622829985436,10067.549131270682,15680.868236706616
20,2,40.0,66.0,0.0914790455654491,10517.530691762187,15680.868236706616
20,3,39.0,66.0,0.11568281771506975,13338.154014686927,15680.868236706616
20,4,39.0,66.0,0.12601297928879265,10549.475196556721,15680.868236706616
20,5,39.0,66.0,0.10912800491701881,12343.544501470687,15680.868236706616
20,6,39.0,66.0,0.11258351549839542,14280.055059381171,15680.868236706616
20,7,38.0,65.0,0.10541400363253771,11102.798023196461,15680.868236706616
20,8,39.0,66.0,0.11158844514280206,11962.5621621881,15680.868236706616
20,9,39.0,66.0,0.11447741200356928,13213.960634164028,15680.868236706616
21,0,40.0,66.0,0.07453018531447933,4551.084509862048,15680.868236706616
21,1,39.0,66.0,0.09964893473354794,13583.293602654732,15680.868236706616
21,2,39.0,66.0,0.11229132564741397,14280.055059381171,15680.868236706616
21,3,39.0,66.0,0.11518814190944456,13338.154014686927,15680.868236706616
21,4,39.0,66.0,0.12207755188419889,10209.240484723652,15680.868236706616
21,5,39.0,66.0,0.11355587736846642,15590.769779262107,15680.868236706616
21,6,39.0,65.0,0.11250765377410557,11804.688943175375,15680.868236706616
21,7,39.0,66.0,0.09846010634463527,13206.532321075412,15680.868236706616
21,8,39.0,66.0,0.1106665064024306,11962.5621621881,15680.868236706616
21,9,39.0,66.0,0.11372158216753642,15590.769779262107,15680.868236706616
22,0,38.0,66.0,0.12398613921245066,10196.663120810666,15680.868236706616
22,1,39.0,66.0,0.11291562996158486,15545.733482953727,15680.868236706616
22,2,39.0,66.0,0.12399425716046264,10431.010902519027,15680.868236706616
22,3,39.0,66.0,0.11088920492662746,11962.5621621881,15680.868236706616
22,4,39.0,66.0,0.10575660770617702,13082.730660639098,15680.868236706616
22,5,39.0,66.0,0.11572294481264994,13338.154014686927,15680.868236706616
22,6,39.0,65.0,0.11242872797171137,11804.688943175375,15680.868236706616
22,7,39.0,66.0,0.09743705763014805,12077.628200283878,15680.868236706616
22,8,40.0,66.0,0.10820573282096785,12420.59590802556,15680.868236706616
22,9,39.0,66.0,0.11284786545404767,14280.055059381171,15680.868236706616
23,0,39.0,66.0,0.1314490873026637,10577.817317729414,15680.868236706616
23,1,39.0,66.0,0.11973186633652921,10266.407333886018,15680.868236706616
23,2,39.0,66.0,0.10923760045154117,12343.544501470687,15680.868236706616
23,3,39.0,66.0,0.11481337656092383,13213.960634164028,15680.868236706616
23,4,39.0,66.0,0.10611275137163798,13082.53212679301,15680.868236706616
23,5,39.0,66.0,0.11260611761817593,14280.055059381171,15680.868236706616
23,6,39.0,66.0,0.11293838391009768,15545.733482953727,15680.868236706616
23,7,39.0,66.0,0.11404751862269348,15590.769779262107,15680.868236706616
23,8,41.0,66.0,0.10742839621643631,10638.52642541172,15680.868236706616
23,9,39.0,66.0,0.1143305657279193,15590.769779262107,15680.868236706616
24,0,39.0,66.0,0.07939920790903372,4991.65051508777,15680.868236706616
24,1,39.0,66.0,0.11584796875020505,13338.154014686927,15680.868236706616
24,2,39.0,66.0,0.1034525647351688,12832.018385198136,15680.868236706616
24,3,39.0,66.0,0.11522820702895918,13338.154014686927,15680.868236706616
24,4,39.0,66.0,0.12374726792622232,10431.010902519027,15680.868236706616
24,5,39.0,66.0,0.1126386868571675,14280.055059381171,15680.868236706616
24,6,39.0,67.0,0.11357841154286136,12442.156283476503,15680.868236706616
24,7,39.0,66.0,0.1218615281813639,10209.240484723652,15680.868236706616
24,8,40.0,66.0,0.10987150201775395,11962.5621621881,15680.868236706616
24,9,39.0,66.0,0.11443322317587849,13213.960634164028,15680.868236706616
25,0,39.0,66.0,0.10945878080916063,12369.102187490194,15680.868236706616
25,1,39.0,66.0,0.10845794716466323,12157.15935978872,15680.868236706616
25,2,39.0,66.0,0.10814040779177365,10801.598902233407,15680.868236706616
25,3,39.0,66.0,0.11076750723614787,11962.5621621881,15680.868236706616
25,4,39.0,66.0,0.1255161690592693,10549.475196556721,15680.868236706616
25,5,39.0,66.0,0.11430218848397562,15590.769779262107,15680.868236706616
25,6,39.0,66.0,0.11335701128197898,15427.443502839877,15680.868236706616
25,7,39.0,66.0,0.11763726950297626,11999.329810334191,15680.868236706616
25,8,39.0,66.0,0.110674911597919,11962.5621621881,15680.868236706616
25,9,39.0,66.0,0.11376117404947274,15590.769779262107,15680.868236706616
26,0,39.0,66.0,0.12455108338385115,10494.582829457368,15680.868236706616
26,1,39.0,66.0,0.1091905041697797,12343.544501470687,15680.868236706616
26,2,39.0,66.0,0.11757300256575845,11999.329810334191,15680.868236706616
26,3,39.0,66.0,0.11239722412245819,14280.055059381171,15680.868236706616
26,4,39.0,66.0,0.11297984228640211,15523.619698288028,15680.868236706616
26,5,39.0,66.0,0.114235633349097,15590.769779262107,15680.868236706616
26,6,39.0,66.0,0.11291186888561622,15545.733482953727,15680.868236706616
26,7,39.0,66.0,0.10936906590612419,12369.102187490194,15680.868236706616
26,8,39.0,66.0,0.11381034089365863,15590.769779262107,15680.868236706616
26,9,39.0,66.0,0.11333598500359382,15427.443502839877,15680.868236706616
27,0,39.0,66.0,0.10798337574539055,10050.99683881856,15680.868236706616
27,1,39.0,66.0,0.11775413113043945,11999.329810334191,15680.868236706616
27,2,39.0,66.0,0.11407008744883823,15590.769779262107,15680.868236706616
27,3,39.0,66.0,0.11449307012351372,13213.960634164028,15680.868236706616
27,4,39.0,66.0,0.1068436989656688,10037.904514149555,15680.868236706616
27,5,39.0,66.0,0.11337117806909877,15427.443502839877,15680.868236706616
27,6,39.0,66.0,0.11294284548886477,15545.733482953727,15680.868236706616
27,7,39.0,66.0,0.11745079951263128,11993.573974541809,15680.868236706616
27,8,39.0,66.0,0.11533914483468265,13338.154014686927,15680.868236706616
27,9,39.0,66.0,0.11400631252609776,15590.769779262107,15680.868236706616
28,0,39.0,66.0,0.10514740061649323,13046.25751841079,15680.868236706616
28,1,39.0,66.0,0.11246428013227855,14280.055059381171,15680.868236706616
28,2,39.0,66.0,0.11204140259199957,12490.001657696448,15680.868236706616
28,3,39.0,66.0,0.11235111784400192,14280.055059381171,15680.868236706616
28,4,39.0,66.0,0.11504090994402769,13338.154014686927,15680.868236706616
28,5,39.0,66.0,0.11278807341817546,14280.055059381171,15680.868236706616
28,6,39.0,66.0,0.1132333303211587,15680.868236706616,15680.868236706616
28,7,39.0,66.0,0.11489601889457837,13213.960634164028,15680.868236706616
28,8,39.0,66.0,0.11183920967370431,11962.5621621881,15680.868236706616
28,9,39.0,66.0,0.11421676988627132,15590.769779262107,15680.868236706616
29,0,39.0,66.0,0.10649540211990709,11223.627228909774,15680.868236706616
29,1,39.0,66.0,0.11040876263207741,12369.102187490194,15680.868236706616
29,2,39.0,66.0,0.11518634648335709,13338.154014686927,15680.868236706616
29,3,39.0,66.0,0.11263798610793818,14280.055059381171,15680.868236706616
29,4,39.0,66.0,0.11648517556085404,13211.6775512462,15680.868236706616
29,5,39.0,66.0,0.11293049073052666,15545.733482953727,15680.868236706616
29,6,39.0,66.0,0.11337648278536848,15427.443502839877,15680.868236706616
29,7,39.0,66.0,0.11209084954037757,12490.001657696448,15680.868236706616
29,8,39.0,66.0,0.11071751621953166,11962.5621621881,15680.868236706616
29,9,39.0,66.0,0.11302127824930855,15523.619698288028,15680.868236706616
30,0,39.0,66.0,0.10849150466979957,12157.15935978872,15680.868236706616
30,1,39.0,66.0,0.11271774235392124,14280.055059381171,15680.868236706616
30,2,39.0,66.0,0.11557342821368222,13338.154014686927,15680.868236706616
30,3,39.0,66.0,0.11385762789687157,15590.769779262107,15680.868236706616
30,4,39.0,66.0,0.11001584545345636,12369.102187490194,15680.868236706616
30,5,39.0,66.0,0.1135361339176387,15590.769779262107,15680.868236706616
30,6,39.0,66.0,0.11333768247833591,15427.443502839877,15680.868236706616
30,7,39.0,66.0,0.11466905305120415,13213.960634164028,15680.868236706616
30,8,39.0,66.0,0.11437614799473082,15590.769779262107,15680.868236706616
30,9,39.0,66.0,0.11425042103617539,15590.769779262107,15680.868236706616
31,0,39.0,66.0,0.11082455656807588,11962.5621621881,15680.868236706616
31,1,39.0,66.0,0.11416559908145717,15590.769779262107,15680.868236706616
31,2,39.0,66.0,0.11069186106913745,11962.5621621881,15680.868236706616
31,3,39.0,66.0,0.11345362263729604,15427.443502839877,15680.868236706616
31,4,39.0,66.0,0.11378672810010293,15590.769779262107,15680.868236706616
31,5,39.0,66.0,0.11360405318324104,15590.769779262107,15680.868236706616
31,6,39.0,66.0,0.11307755503878482,15523.619698288028,15680.868236706616
31,7,39.0,66.0,0.11414383234282936,15590.769779262107,15680.868236706616
31,8,39.0,66.0,0.11443765016109798,13213.960634164028,15680.868236706616
31,9,39.0,66.0,0.1147016719617536,13213.960634164028,15680.868236706616
32,0,39.0,66.0,0.1099658494926916,12369.102187490194,15680.868236706616
32,1,39.0,66.0,0.11461924565382833,13213.960634164028,15680.868236706616
32,2,39.0,66.0,0.11211082369953172,12490.001657696448,15680.868236706616
32,3,39.0,66.0,0.11297763832007353,15523.619698288028,15680.868236706616
32,4,39.0,66.0,0.11513590803381016,13338.154014686927,15680.868236706616
32,5,39.0,66.0,0.11361211896027812,15590.769779262107,15680.868236706616
32,6,39.0,66.0,0.1133677753985219,15427.443502839877,15680.868236706616
32,7,39.0,66.0,0.11344693149300897,15427.443502839877,15680.868236706616
32,8,39.0,66.0,0.11379332436588391,15590.769779262107,15680.868236706616
32,9,39.0,66.0,0.11320846131471356,15680.868236706616,15680.868236706616
33,0,39.0,66.0,0.10956736397716303,12369.102187490194,15680.868236706616
33,1,39.0,66.0,0.11365478459570191,15590.769779262107,15680.868236706616
33,2,39.0,66.0,0.11602982239402007,13338.154014686927,15680.868236706616
33,3,39.0,66.0,0.11319400040129121,15680.868236706616,15680.868236706616
33,4,39.0,66.0,0.11443472357050578,13213.960634164028,15680.868236706616
33,5,39.0,66.0,0.11342180757848684,15427.443502839877,15680.868236706616
33,6,39.0,66.0,0.11336214063313389,15427.443502839877,15680.868236706616
33,7,39.0,66.0,0.11345467902726267,15427.443502839877,15680.868236706616
33,8,39.0,66.0,0.11266351633586674,14280.055059381171,15680.868236706616
33,9,39.0,66.0,0.11247096995467992,14280.055059381171,15680.868236706616
34,0,39.0,66.0,0.10772232157595446,10101.088083530947,15680.868236706616
34,1,39.0,66.0,0.11364628438202756,15590.769779262107,15680.868236706616
34,2,39.0,66.0,0.11401158909193303,15590.769779262107,15680.868236706616
34,3,39.0,66.0,0.11336014893030942,15427.443502839877,15680.868236706616
34,4,39.0,66.0,0.11355491716900261,15590.769779262107,15680.868236706616
34,5,39.0,66.0,0.11341745461318804,15427.443502839877,15680.868236706616
34,6,39.0,66.0,0.11327915134684517,15680.868236706616,15680.868236706616
34,7,39.0,66.0,0.11364996772758307,15590.769779262107,15680.868236706616
34,8,39.0,66.0,0.1137847498156682,15590.769779262107,15680.868236706616
34,9,39.0,66.0,0.11351534397283668,15427.443502839877,15680.868236706616
35,0,39.0,66.0,0.1055782311292848,13046.25751841079,15680.868236706616
35,1,39.0,66.0,0.11354135838236905,15590.769779262107,15680.868236706616
35,2,39.0,66.0,0.11270413494237348,14280.055059381171,15680.868236706616
35,3,39.0,66.0,0.11334637882343696,15427.443502839877,15680.868236706616
35,4,39.0,66.0,0.11308295045965902,15523.619698288028,15680.868236706616
35,5,39.0,66.0,0.11327250762756666,15680.868236706616,15680.868236706616
35,6,39.0,66.0,0.11318398743109895,15680.868236706616,15680.868236706616
35,7,39.0,66.0,0.11408771795686547,15590.769779262107,15680.868236706616
35,8,39.0,66.0,0.11391829717586326,15590.769779262107,15680.868236706616
35,9,39.0,66.0,0.11371147720350819,15590.769779262107,15680.868236706616
36,0,39.0,66.0,0.11025777551541041,12369.102187490194,15680.868236706616
36,1,39.0,66.0,0.11371528645083749,15590.769779262107,15680.868236706616
36,2,39.0,66.0,0.11234657826143236,14280.055059381171,15680.868236706616
36,3,39.0,66.0,0.11315582429604881,15680.868236706616,15680.868236706616
36,4,39.0,66.0,0.11366379512614504,15590.769779262107,15680.868236706616
36,5,39.0,66.0,0.1131729442500649,15680.868236706616,15680.868236706616
36,6,39.0,66.0,0.11321566346817785,15680.868236706616,15680.868236706616
36,7,39.0,66.0,0.11343141490091721,15427.443502839877,15680.868236706616
36,8,39.0,66.0,0.11321151764763325,15680.868236706616,15680.868236706616
36,9,39.0,66.0,0.11311044206651294,15523.619698288028,15680.868236706616
37,0,39.0,66.0,0.11185137399628854,11962.5621621881,15680.868236706616
37,1,39.0,66.0,0.1139066461595128,15590.769779262107,15680.868236706616
37,2,39.0,66.0,0.11316390925004997,15680.868236706616,15680.868236706616
37,3,39.0,66.0,0.11314652628417267,15680.868236706616,15680.868236706616
37,4,39.0,66.0,0.11348241727208626,15427.443502839877,15680.868236706616
37,5,39.0,66.0,0.11324628700620724,15680.868236706616,15680.868236706616
37,6,39.0,66.0,0.11326804690735161,15680.868236706616,15680.868236706616
