Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Fitness,Best_So_far
0,0,3.9517699074603074,2.9186845866149236,6.678214005188772,9.0,19.0,25.0,0.6582383752842604,0.67040111259413,5.871169018034458,1.0738579508160417,70.0,72.0,87.0,0.00437682598066691,1792.2949050577938,1792.2949050577938
0,1,0.6140828600683079,4.96849492055738,5.208339841178173,22.0,36.0,48.0,0.9398244626175374,5.841142923322744,7.152456539084077,8.609253557019931,51.0,61.0,99.0,0.48664631393193825,7603.533997282389,7603.533997282389
0,2,3.9161613788209526,5.4409535465788075,3.2227058977489653,36.0,34.0,22.0,0.47583038389044163,7.423972295504159,2.9477882047397674,1.8201767712505168,58.0,69.0,85.0,0.8319684156045799,6982.29631940137,7603.533997282389
0,3,2.453194117322427,0.226534731140412,1.5832185271676225,45.0,33.0,45.0,0.10932306450755669,4.359123666199746,4.781444260985629,5.917641812793334,84.0,79.0,91.0,0.049119683538984216,622.1670918207519,7603.533997282389
0,4,3.265561578643096,2.9930774229208543,3.520527443589483,40.0,31.0,20.0,0.5978341515537967,2.0069169877730597,9.143158622698381,4.382125696416064,51.0,72.0,59.0,0.9276646763691018,557.3458767124762,7603.533997282389
0,5,3.2810136780299537,7.375692328731473,3.0653040968454413,38.0,9.0,8.0,0.7703777492268393,7.168841008573194,0.6018705183499629,1.0146036100134914,98.0,83.0,72.0,0.30599721774924005,390.7509006303629,7603.533997282389
0,6,6.868429418219941,1.7573056084449823,8.676641522463212,24.0,20.0,38.0,0.7077970358891259,5.229520135834243,5.935718006268581,2.983079335000449,87.0,89.0,86.0,0.30523076384367775,997.8469887283275,7603.533997282389
0,7,8.01521206453399,6.362174589853082,3.1579560620421643,49.0,10.0,16.0,0.3874528243222708,7.1799309473346264,4.706127179300382,0.2809756591484358,68.0,81.0,73.0,0.01609485782752318,4860.537355618743,7603.533997282389
0,8,1.520637639184249,6.090423005497488,5.127429796769347,35.0,49.0,23.0,0.9371953348023703,0.22617438627625108,2.2980972620756726,4.5109050783818585,66.0,63.0,55.0,0.21199005588559472,14918.055912821672,14918.055912821672
0,9,7.440527903596628,6.600689658971527,0.22113848256118618,22.0,5.0,50.0,0.3529609609049952,5.655041333319739,1.5221946625470284,8.374006201875073,85.0,75.0,54.0,0.9867974104866097,4990.60010288403,14918.055912821672
