Iteration,Particle_ID,Dim_0,Dim_1,Fitness,Best_So_far
0,0,41.0,90.0,14941.216719440068,14941.216719440068
0,1,44.0,94.0,16899.410103731476,16899.410103731476
0,2,15.0,85.0,12294.871188801413,16899.410103731476
0,3,30.0,85.0,16592.758532409476,16899.410103731476
0,4,49.0,72.0,7426.945993166237,16899.410103731476
0,5,12.0,88.0,10112.751061467357,16899.410103731476
0,6,24.0,85.0,13610.944144961704,16899.410103731476
0,7,10.0,57.0,4156.1743825833755,16899.410103731476
0,8,47.0,64.0,4935.339080664107,16899.410103731476
0,9,45.0,69.0,6959.85936081069,16899.410103731476
1,0,41.0,90.0,14941.216719440068,16899.410103731476
1,1,44.0,94.0,16899.410103731476,16899.410103731476
1,2,15.0,85.0,12294.871188801413,16899.410103731476
1,3,30.0,85.0,16592.758532409476,16899.410103731476
1,4,49.0,72.0,7426.945993166237,16899.410103731476
1,5,12.0,88.0,10112.751061467357,16899.410103731476
1,6,24.0,85.0,13610.944144961704,16899.410103731476
1,7,10.0,57.0,4156.1743825833755,16899.410103731476
1,8,47.0,64.0,4935.339080664107,16899.410103731476
1,9,45.0,69.0,6959.85936081069,16899.410103731476
2,0,45.0,96.0,15590.766320413,16899.410103731476
2,1,44.0,94.0,16899.410103731476,16899.410103731476
2,2,31.0,90.0,11824.028944280948,16899.410103731476
2,3,42.0,93.0,18672.129082013427,18672.129082013427
2,4,44.0,94.0,16899.410103731476,18672.129082013427
2,5,36.0,92.0,17842.45217454896,18672.129082013427
2,6,34.0,89.0,16512.86533866941,18672.129082013427
2,7,50.0,100.0,20550.9792711366,20550.9792711366
2,8,46.0,77.0,9575.324059898963,20550.9792711366
2,9,45.0,83.0,14541.250483155149,20550.9792711366
3,0,50.0,100.0,20550.9792711366,20550.9792711366
3,1,50.0,100.0,20550.9792711366,20550.9792711366
3,2,20.0,87.0,12775.74122819359,20550.9792711366
3,3,50.0,100.0,20550.9792711366,20550.9792711366
3,4,45.0,100.0,20984.969287846103,20984.969287846103
3,5,50.0,99.0,21047.099301038365,21047.099301038365
3,6,50.0,100.0,20550.9792711366,21047.099301038365
3,7,50.0,100.0,20550.9792711366,21047.099301038365
3,8,48.0,96.0,18394.15467928809,21047.099301038365
3,9,45.0,91.0,19161.522674492022,21047.099301038365
4,0,50.0,100.0,20550.9792711366,21047.099301038365
4,1,50.0,100.0,20550.9792711366,21047.099301038365
4,2,48.0,99.0,20443.930812693652,21047.099301038365
4,3,50.0,100.0,20550.9792711366,21047.099301038365
4,4,48.0,100.0,19077.551904064116,21047.099301038365
4,5,50.0,100.0,20550.9792711366,21047.099301038365
4,6,50.0,100.0,20550.9792711366,21047.099301038365
4,7,50.0,100.0,20550.9792711366,21047.099301038365
4,8,50.0,100.0,20550.9792711366,21047.099301038365
4,9,49.0,100.0,19535.40860789213,21047.099301038365
5,0,50.0,100.0,20550.9792711366,21047.099301038365
5,1,50.0,100.0,20550.9792711366,21047.099301038365
5,2,50.0,100.0,20550.9792711366,21047.099301038365
5,3,50.0,100.0,20550.9792711366,21047.099301038365
5,4,50.0,100.0,20550.9792711366,21047.099301038365
5,5,50.0,100.0,20550.9792711366,21047.099301038365
5,6,50.0,100.0,20550.9792711366,21047.099301038365
5,7,50.0,100.0,20550.9792711366,21047.099301038365
5,8,50.0,100.0,20550.9792711366,21047.099301038365
5,9,50.0,100.0,20550.9792711366,21047.099301038365
6,0,50.0,99.0,21047.099301038365,21047.099301038365
6,1,50.0,99.0,21047.099301038365,21047.099301038365
6,2,50.0,100.0,20550.9792711366,21047.099301038365
6,3,50.0,100.0,20550.9792711366,21047.099301038365
6,4,50.0,100.0,20550.9792711366,21047.099301038365
6,5,50.0,99.0,21047.099301038365,21047.099301038365
6,6,50.0,100.0,20550.9792711366,21047.099301038365
6,7,50.0,100.0,20550.9792711366,21047.099301038365
6,8,50.0,100.0,20550.9792711366,21047.099301038365
6,9,50.0,100.0,20550.9792711366,21047.099301038365
7,0,50.0,98.0,19865.04786371012,21047.099301038365
7,1,50.0,99.0,21047.099301038365,21047.099301038365
7,2,50.0,100.0,20550.9792711366,21047.099301038365
7,3,50.0,100.0,20550.9792711366,21047.099301038365
7,4,49.0,100.0,19535.40860789213,21047.099301038365
7,5,50.0,99.0,21047.099301038365,21047.099301038365
7,6,50.0,99.0,21047.099301038365,21047.099301038365
7,7,50.0,99.0,21047.099301038365,21047.099301038365
7,8,50.0,100.0,20550.9792711366,21047.099301038365
7,9,50.0,100.0,20550.9792711366,21047.099301038365
8,0,50.0,99.0,21047.099301038365,21047.099301038365
8,1,50.0,99.0,21047.099301038365,21047.099301038365
8,2,50.0,98.0,19865.04786371012,21047.099301038365
8,3,50.0,99.0,21047.099301038365,21047.099301038365
8,4,47.0,99.0,19009.934086725818,21047.099301038365
8,5,50.0,99.0,21047.099301038365,21047.099301038365
8,6,50.0,99.0,21047.099301038365,21047.099301038365
8,7,50.0,99.0,21047.099301038365,21047.099301038365
8,8,50.0,99.0,21047.099301038365,21047.099301038365
8,9,50.0,99.0,21047.099301038365,21047.099301038365
9,0,50.0,99.0,21047.099301038365,21047.099301038365
9,1,50.0,99.0,21047.099301038365,21047.099301038365
9,2,50.0,100.0,20550.9792711366,21047.099301038365
9,3,50.0,99.0,21047.099301038365,21047.099301038365
9,4,47.0,99.0,19009.934086725818,21047.099301038365
9,5,50.0,99.0,21047.099301038365,21047.099301038365
9,6,50.0,99.0,21047.099301038365,21047.099301038365
9,7,50.0,99.0,21047.099301038365,21047.099301038365
9,8,50.0,99.0,21047.099301038365,21047.099301038365
9,9,50.0,98.0,19865.04786371012,21047.099301038365
10,0,50.0,99.0,21047.099301038365,21047.099301038365
10,1,50.0,99.0,21047.099301038365,21047.099301038365
10,2,50.0,100.0,20550.9792711366,21047.099301038365
10,3,50.0,99.0,21047.099301038365,21047.099301038365
10,4,49.0,100.0,19535.40860789213,21047.099301038365
10,5,50.0,99.0,21047.099301038365,21047.099301038365
10,6,50.0,99.0,21047.099301038365,21047.099301038365
10,7,50.0,99.0,21047.099301038365,21047.099301038365
10,8,50.0,99.0,21047.099301038365,21047.099301038365
10,9,50.0,98.0,19865.04786371012,21047.099301038365
11,0,50.0,99.0,21047.099301038365,21047.099301038365
11,1,50.0,99.0,21047.099301038365,21047.099301038365
11,2,50.0,99.0,21047.099301038365,21047.099301038365
11,3,50.0,99.0,21047.099301038365,21047.099301038365
11,4,50.0,99.0,21047.099301038365,21047.099301038365
11,5,50.0,99.0,21047.099301038365,21047.099301038365
11,6,50.0,99.0,21047.099301038365,21047.099301038365
11,7,50.0,99.0,21047.099301038365,21047.099301038365
11,8,50.0,99.0,21047.099301038365,21047.099301038365
11,9,50.0,99.0,21047.099301038365,21047.099301038365
12,0,50.0,99.0,21047.099301038365,21047.099301038365
12,1,50.0,99.0,21047.099301038365,21047.099301038365
12,2,50.0,98.0,19865.04786371012,21047.099301038365
12,3,50.0,99.0,21047.099301038365,21047.099301038365
12,4,50.0,99.0,21047.099301038365,21047.099301038365
12,5,50.0,99.0,21047.099301038365,21047.099301038365
12,6,50.0,99.0,21047.099301038365,21047.099301038365
12,7,50.0,99.0,21047.099301038365,21047.099301038365
12,8,50.0,99.0,21047.099301038365,21047.099301038365
12,9,50.0,100.0,20550.9792711366,21047.099301038365
13,0,50.0,99.0,21047.099301038365,21047.099301038365
13,1,50.0,99.0,21047.099301038365,21047.099301038365
13,2,50.0,99.0,21047.099301038365,21047.099301038365
13,3,50.0,99.0,21047.099301038365,21047.099301038365
13,4,50.0,99.0,21047.099301038365,21047.099301038365
13,5,50.0,99.0,21047.099301038365,21047.099301038365
13,6,50.0,99.0,21047.099301038365,21047.099301038365
13,7,50.0,99.0,21047.099301038365,21047.099301038365
13,8,50.0,99.0,21047.099301038365,21047.099301038365
13,9,50.0,99.0,21047.099301038365,21047.099301038365
14,0,50.0,99.0,21047.099301038365,21047.099301038365
14,1,50.0,99.0,21047.099301038365,21047.099301038365
14,2,50.0,100.0,20550.9792711366,21047.099301038365
14,3,50.0,99.0,21047.099301038365,21047.099301038365
14,4,50.0,99.0,21047.099301038365,21047.099301038365
14,5,50.0,99.0,21047.099301038365,21047.099301038365
14,6,50.0,99.0,21047.099301038365,21047.099301038365
14,7,50.0,99.0,21047.099301038365,21047.099301038365
14,8,50.0,99.0,21047.099301038365,21047.099301038365
14,9,50.0,99.0,21047.099301038365,21047.099301038365
15,0,50.0,99.0,21047.099301038365,21047.099301038365
15,1,50.0,99.0,21047.099301038365,21047.099301038365
15,2,50.0,98.0,19865.04786371012,21047.099301038365
15,3,50.0,99.0,21047.099301038365,21047.099301038365
15,4,50.0,99.0,21047.099301038365,21047.099301038365
15,5,50.0,99.0,21047.099301038365,21047.099301038365
15,6,50.0,99.0,21047.099301038365,21047.099301038365
15,7,50.0,99.0,21047.099301038365,21047.099301038365
15,8,50.0,99.0,21047.099301038365,21047.099301038365
15,9,50.0,99.0,21047.099301038365,21047.099301038365
16,0,50.0,99.0,21047.099301038365,21047.099301038365
16,1,50.0,99.0,21047.099301038365,21047.099301038365
16,2,50.0,98.0,19865.04786371012,21047.099301038365
16,3,50.0,99.0,21047.099301038365,21047.099301038365
16,4,50.0,99.0,21047.099301038365,21047.099301038365
16,5,50.0,99.0,21047.099301038365,21047.099301038365
16,6,50.0,99.0,21047.099301038365,21047.099301038365
16,7,50.0,99.0,21047.099301038365,21047.099301038365
16,8,50.0,99.0,21047.099301038365,21047.099301038365
16,9,50.0,99.0,21047.099301038365,21047.099301038365
17,0,50.0,99.0,21047.099301038365,21047.099301038365
17,1,50.0,99.0,21047.099301038365,21047.099301038365
17,2,50.0,98.0,19865.04786371012,21047.099301038365
17,3,50.0,99.0,21047.099301038365,21047.099301038365
17,4,50.0,99.0,21047.099301038365,21047.099301038365
17,5,50.0,99.0,21047.099301038365,21047.099301038365
17,6,50.0,99.0,21047.099301038365,21047.099301038365
17,7,50.0,99.0,21047.099301038365,21047.099301038365
17,8,50.0,99.0,21047.099301038365,21047.099301038365
17,9,50.0,99.0,21047.099301038365,21047.099301038365
18,0,50.0,99.0,21047.099301038365,21047.099301038365
18,1,50.0,99.0,21047.099301038365,21047.099301038365
18,2,50.0,99.0,21047.099301038365,21047.099301038365
18,3,50.0,99.0,21047.099301038365,21047.099301038365
18,4,50.0,99.0,21047.099301038365,21047.099301038365
18,5,50.0,99.0,21047.099301038365,21047.099301038365
18,6,50.0,99.0,21047.099301038365,21047.099301038365
18,7,50.0,99.0,21047.099301038365,21047.099301038365
18,8,50.0,99.0,21047.099301038365,21047.099301038365
18,9,50.0,99.0,21047.099301038365,21047.099301038365
19,0,50.0,99.0,21047.099301038365,21047.099301038365
19,1,50.0,99.0,21047.099301038365,21047.099301038365
19,2,50.0,99.0,21047.099301038365,21047.099301038365
19,3,50.0,99.0,21047.099301038365,21047.099301038365
19,4,50.0,99.0,21047.099301038365,21047.099301038365
19,5,50.0,99.0,21047.099301038365,21047.099301038365
19,6,50.0,99.0,21047.099301038365,21047.099301038365
19,7,50.0,99.0,21047.099301038365,21047.099301038365
19,8,50.0,99.0,21047.099301038365,21047.099301038365
19,9,50.0,99.0,21047.099301038365,21047.099301038365
20,0,50.0,99.0,21047.099301038365,21047.099301038365
20,1,50.0,99.0,21047.099301038365,21047.099301038365
20,2,50.0,99.0,21047.099301038365,21047.099301038365
20,3,50.0,99.0,21047.099301038365,21047.099301038365
20,4,50.0,99.0,21047.099301038365,21047.099301038365
20,5,50.0,99.0,21047.099301038365,21047.099301038365
20,6,50.0,99.0,21047.099301038365,21047.099301038365
20,7,50.0,99.0,21047.099301038365,21047.099301038365
20,8,50.0,99.0,21047.099301038365,21047.099301038365
20,9,50.0,99.0,21047.099301038365,21047.099301038365
21,0,50.0,99.0,21047.099301038365,21047.099301038365
21,1,50.0,99.0,21047.099301038365,21047.099301038365
21,2,50.0,99.0,21047.099301038365,21047.099301038365
21,3,50.0,99.0,21047.099301038365,21047.099301038365
21,4,50.0,99.0,21047.099301038365,21047.099301038365
21,5,50.0,99.0,21047.099301038365,21047.099301038365
21,6,50.0,99.0,21047.099301038365,21047.099301038365
21,7,50.0,99.0,21047.099301038365,21047.099301038365
21,8,50.0,99.0,21047.099301038365,21047.099301038365
21,9,50.0,99.0,21047.099301038365,21047.099301038365
22,0,50.0,99.0,21047.099301038365,21047.099301038365
22,1,50.0,99.0,21047.099301038365,21047.099301038365
22,2,50.0,99.0,21047.099301038365,21047.099301038365
22,3,50.0,99.0,21047.099301038365,21047.099301038365
22,4,50.0,99.0,21047.099301038365,21047.099301038365
22,5,50.0,99.0,21047.099301038365,21047.099301038365
22,6,50.0,99.0,21047.099301038365,21047.099301038365
22,7,50.0,99.0,21047.099301038365,21047.099301038365
22,8,50.0,99.0,21047.099301038365,21047.099301038365
22,9,50.0,99.0,21047.099301038365,21047.099301038365
23,0,50.0,99.0,21047.099301038365,21047.099301038365
23,1,50.0,99.0,21047.099301038365,21047.099301038365
23,2,50.0,99.0,21047.099301038365,21047.099301038365
23,3,50.0,99.0,21047.099301038365,21047.099301038365
23,4,50.0,99.0,21047.099301038365,21047.099301038365
23,5,50.0,99.0,21047.099301038365,21047.099301038365
23,6,50.0,99.0,21047.099301038365,21047.099301038365
23,7,50.0,99.0,21047.099301038365,21047.099301038365
23,8,50.0,99.0,21047.099301038365,21047.099301038365
23,9,50.0,99.0,21047.099301038365,21047.099301038365
24,0,50.0,99.0,21047.099301038365,21047.099301038365
24,1,50.0,99.0,21047.099301038365,21047.099301038365
24,2,50.0,99.0,21047.099301038365,21047.099301038365
24,3,50.0,99.0,21047.099301038365,21047.099301038365
24,4,50.0,99.0,21047.099301038365,21047.099301038365
