Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Fitness,Best_So_far
0,0,0.9133405032964348,0.9067400296463546,2.194569837771687,1.0,10.0,9.0,0.47183468651778226,3.4501948410397008,1.1300409622700713,1.76727039271521,30.0,31.0,39.0,0.04306743074504027,2054.5332770788236,2054.5332770788236
0,1,9.569542927164484,5.418461409724637,8.88982418264148,1.0,7.0,6.0,0.2938161142088158,3.525033005276108,9.587912330316096,5.005241505870263,19.0,36.0,17.0,0.8791245315400639,576.6861744756368,2054.5332770788236
0,2,8.92815705128925,7.985072103297918,2.1712377418455975,7.0,3.0,4.0,0.39069587470373013,9.679941608028736,1.7006938393606807,7.308541895407243,23.0,19.0,12.0,0.09518442509067193,30456.529661203498,30456.529661203498
0,3,7.1289175725441005,6.710361329136065,5.8931063015517235,1.0,10.0,7.0,0.9312608388893391,6.692065196450541,9.350381731443534,7.171993451297296,14.0,40.0,23.0,0.372132134693413,334.80473522536124,30456.529661203498
0,4,8.776745455223534,4.500324981081918,1.0650044668676428,10.0,5.0,7.0,0.7667006118176798,7.650252330764461,3.9727265798133313,7.006626007620592,16.0,23.0,23.0,0.07513876174231104,6014.190694339063,30456.529661203498
0,5,1.5766144078088151,0.9872240044389269,5.861957358520666,6.0,4.0,1.0,0.21004861194130797,4.286595573644137,3.9192478093728402,2.9150387561330793,37.0,20.0,16.0,0.34404619072872156,886.3884128840226,30456.529661203498
0,6,4.5356192237926045,9.169306868552665,4.269758510297731,3.0,6.0,6.0,0.6082083483610716,7.625818477866002,4.234554807914982,9.658181087776732,33.0,13.0,26.0,0.5827943471144379,25447.97789568936,30456.529661203498
0,7,7.75132748769391,6.458108016277302,7.615863395238208,2.0,7.0,1.0,0.007763653361705702,3.5089779006788513,3.724307156226118,2.322844250215007,28.0,28.0,16.0,0.8231878901246404,780.5909243116829,30456.529661203498
0,8,5.149122279654086,6.299663235227411,4.776603428681906,5.0,1.0,2.0,0.1893765682400712,3.1833804171755786,4.855461237545553,2.143994859624515,39.0,23.0,23.0,0.8716666216162472,802.920670777081,30456.529661203498
0,9,2.9944133113157925,7.035585629742504,8.299034826900101,1.0,4.0,10.0,0.9924361972475884,5.043903868354239,1.772219714419978,5.834396314985812,16.0,21.0,24.0,0.6066182464812679,1313.768504004988,30456.529661203498
1,0,0.9133405032964348,0.9067400296463546,2.194569837771687,1.0,10.0,9.0,0.47183468651778226,3.4501948410397008,1.1300409622700713,1.76727039271521,30.0,31.0,39.0,0.04306743074504027,2054.5332770788236,30456.529661203498
1,1,9.569542927164484,5.418461409724637,8.88982418264148,1.0,7.0,6.0,0.2938161142088158,3.525033005276108,9.587912330316096,5.005241505870263,19.0,36.0,17.0,0.8791245315400639,576.6861744756368,30456.529661203498
1,2,8.92815705128925,7.985072103297918,2.1712377418455975,7.0,3.0,4.0,0.39069587470373013,9.679941608028736,1.7006938393606807,7.308541895407243,23.0,19.0,12.0,0.09518442509067193,30456.529661203498,30456.529661203498
1,3,7.1289175725441005,6.710361329136065,5.8931063015517235,1.0,10.0,7.0,0.9312608388893391,6.692065196450541,9.350381731443534,7.171993451297296,14.0,40.0,23.0,0.372132134693413,334.80473522536124,30456.529661203498
1,4,8.776745455223534,4.500324981081918,1.0650044668676428,10.0,5.0,7.0,0.7667006118176798,7.650252330764461,3.9727265798133313,7.006626007620592,16.0,23.0,23.0,0.07513876174231104,6014.190694339063,30456.529661203498
1,5,1.5766144078088151,0.9872240044389269,5.861957358520666,6.0,4.0,1.0,0.21004861194130797,4.286595573644137,3.9192478093728402,2.9150387561330793,37.0,20.0,16.0,0.34404619072872156,886.3884128840226,30456.529661203498
1,6,4.5356192237926045,9.169306868552665,4.269758510297731,3.0,6.0,6.0,0.6082083483610716,7.625818477866002,4.234554807914982,9.658181087776732,33.0,13.0,26.0,0.5827943471144379,25447.97789568936,30456.529661203498
1,7,7.75132748769391,6.458108016277302,7.615863395238208,2.0,7.0,1.0,0.007763653361705702,3.5089779006788513,3.724307156226118,2.322844250215007,28.0,28.0,16.0,0.8231878901246404,780.5909243116829,30456.529661203498
1,8,5.149122279654086,6.299663235227411,4.776603428681906,5.0,1.0,2.0,0.1893765682400712,3.1833804171755786,4.855461237545553,2.143994859624515,39.0,23.0,23.0,0.8716666216162472,802.920670777081,30456.529661203498
1,9,2.9944133113157925,7.035585629742504,8.299034826900101,1.0,4.0,10.0,0.9924361972475884,5.043903868354239,1.772219714419978,5.834396314985812,16.0,21.0,24.0,0.6066182464812679,1313.768504004988,30456.529661203498
2,0,5.790731692524399,5.169300197876736,2.1574796091492834,5.0,5.0,6.0,0.05877021834304247,7.3014135084641545,1.5304231263003087,5.397980587138239,26.0,23.0,22.0,0.0,1000.0,30456.529661203498
