Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Fitness,Best_So_far
0,0,5.0,30.0,0.06029663844506139,825.2254119272882,825.2254119272882
0,1,4.0,36.0,0.2006482313471002,827.3758690336983,827.3758690336983
0,2,7.0,24.0,0.7417788168061943,1178.2696494982345,1178.2696494982345
0,3,1.0,22.0,0.5548722264358651,875.6111220367812,1178.2696494982345
0,4,7.0,40.0,0.20545772932563333,536.3068816073011,1178.2696494982345
0,5,9.0,29.0,0.21264704739931117,1334.1093224972412,1334.1093224972412
0,6,8.0,17.0,0.780550319899156,297.4638496121633,1334.1093224972412
0,7,8.0,24.0,0.7853238340077447,1175.5447298937506,1334.1093224972412
0,8,7.0,40.0,0.5196434689214798,2547.9330968858753,2547.9330968858753
0,9,5.0,37.0,0.27151872675503064,463.70525323524527,2547.9330968858753
1,0,5.0,30.0,0.06029663844506139,825.2254119272882,2547.9330968858753
1,1,4.0,36.0,0.2006482313471002,827.3758690336983,2547.9330968858753
1,2,7.0,24.0,0.7417788168061943,1178.2696494982345,2547.9330968858753
1,3,1.0,22.0,0.5548722264358651,875.6111220367812,2547.9330968858753
1,4,7.0,40.0,0.20545772932563333,536.3068816073011,2547.9330968858753
1,5,9.0,29.0,0.21264704739931117,1334.1093224972412,2547.9330968858753
1,6,8.0,17.0,0.780550319899156,297.4638496121633,2547.9330968858753
1,7,8.0,24.0,0.7853238340077447,1175.5447298937506,2547.9330968858753
1,8,7.0,40.0,0.5196434689214798,2547.9330968858753,2547.9330968858753
1,9,5.0,37.0,0.27151872675503064,463.70525323524527,2547.9330968858753
2,0,6.0,36.0,0.2333321354946002,464.69194616046997,2547.9330968858753
2,1,5.0,38.0,0.4252005121551911,906.5898775207035,2547.9330968858753
2,2,7.0,25.0,1.0,657.743900630044,2547.9330968858753
2,3,2.0,24.0,0.4101056580325325,664.7890823501449,2547.9330968858753
2,4,7.0,40.0,0.9555337861774996,1113.3193927940472,2547.9330968858753
2,5,8.0,34.0,0.0,875.6111220367812,2547.9330968858753
2,6,7.0,35.0,0.5797966919074646,2420.4610889341784,2547.9330968858753
2,7,7.0,40.0,0.4627821715753235,3006.280154042967,3006.280154042967
2,8,7.0,40.0,0.8583617200037533,1354.5394053274433,3006.280154042967
2,9,6.0,39.0,0.16303829550414017,734.6645164403938,3006.280154042967
3,0,7.0,37.0,0.4140403749509576,2267.8434203694273,3006.280154042967
3,1,7.0,40.0,0.559185827729157,1947.6033849321177,3006.280154042967
3,2,7.0,25.0,0.7478695781831306,1332.9486354312417,3006.280154042967
3,3,9.0,40.0,0.5411697185889842,1862.7026723733418,3006.280154042967
3,4,7.0,40.0,0.6914850342592727,1372.5659617844892,3006.280154042967
3,5,7.0,40.0,0.19261751590644913,341.6732534388471,3006.280154042967
3,6,6.0,40.0,0.39637450141004005,1137.456358706796,3006.280154042967
3,7,7.0,40.0,0.30151134035911287,1059.4226718274676,3006.280154042967
3,8,7.0,40.0,0.0546308374240011,805.5212235569256,3006.280154042967
3,9,8.0,40.0,0.5519121806491443,1653.8739589876918,3006.280154042967
4,0,7.0,39.0,0.524770931339906,2131.946083904794,3006.280154042967
4,1,8.0,40.0,0.5570578842424366,1693.650039253234,3006.280154042967
4,2,7.0,37.0,0.39005690759416656,1691.4851603770721,3006.280154042967
4,3,10.0,40.0,0.5220338843910844,2432.2400106266828,3006.280154042967
4,4,7.0,40.0,0.5539139372156963,2246.7736046007617,3006.280154042967
4,5,9.0,31.0,0.5342703647755049,1788.0779457459548,3006.280154042967
4,6,8.0,40.0,0.5821304888482772,1849.8259469080106,3006.280154042967
4,7,7.0,40.0,0.6062864028949901,1680.3082999227963,3006.280154042967
4,8,7.0,40.0,0.6538089040954206,1594.943720938722,3006.280154042967
4,9,8.0,40.0,0.6156435897450453,1409.3529267702354,3006.280154042967
5,0,7.0,39.0,0.5021229629174394,2735.650068825606,3006.280154042967
5,1,6.0,40.0,0.4383699176658209,2713.892932594421,3006.280154042967
5,2,7.0,40.0,0.3169083901848181,1601.352920000673,3006.280154042967
5,3,9.0,40.0,0.48387641165814826,2571.590793231717,3006.280154042967
5,4,7.0,40.0,0.36036391863156,1259.7793419092877,3006.280154042967
5,5,7.0,40.0,0.5983060933476161,1845.6154933231785,3006.280154042967
5,6,7.0,33.0,0.6328375117304836,1849.8764958610354,3006.280154042967
5,7,7.0,40.0,0.5405929953729127,2306.7904586405803,3006.280154042967
5,8,7.0,40.0,0.8333509731244602,1415.4115253431976,3006.280154042967
5,9,7.0,40.0,0.5267683179715105,2366.0802262082275,3006.280154042967
6,0,7.0,39.0,0.4800896945765923,2717.843438610533,3006.280154042967
6,1,5.0,40.0,0.38023658827562457,1147.1074756633259,3006.280154042967
6,2,7.0,40.0,0.44670123514156745,2724.466117186323,3006.280154042967
6,3,6.0,40.0,0.43461619226329234,2120.2207753141925,3006.280154042967
6,4,7.0,40.0,0.4916957628192732,2925.779074733869,3006.280154042967
6,5,6.0,40.0,0.6302472710942074,1526.207751506107,3006.280154042967
6,6,7.0,38.0,0.43712704149590687,3026.401083563038,3026.401083563038
6,7,7.0,40.0,0.41242999044534867,2959.77003162062,3026.401083563038
6,8,7.0,40.0,0.43556719278173367,2593.953039387482,3026.401083563038
6,9,7.0,40.0,0.4085467123509431,3315.1088781826743,3315.1088781826743
7,0,7.0,40.0,0.38647686412299254,1710.9416025019173,3315.1088781826743
7,1,6.0,40.0,0.4216094276870509,1466.267093546388,3315.1088781826743
7,2,7.0,40.0,0.49173290537909053,2925.779074733869,3315.1088781826743
7,3,6.0,40.0,0.4017281428246386,846.6225933620012,3315.1088781826743
7,4,7.0,40.0,0.5212028669168217,2547.9330968858753,3315.1088781826743
7,5,8.0,40.0,0.31213071039958457,1784.0872700526509,3315.1088781826743
7,6,7.0,40.0,0.32158744867092387,1411.277352239391,3315.1088781826743
7,7,7.0,40.0,0.3507582779010744,1634.3824929648715,3315.1088781826743
7,8,7.0,40.0,0.2143326391086725,658.4008050091785,3315.1088781826743
7,9,7.0,40.0,0.3494359095406594,1770.824290996419,3315.1088781826743
8,0,7.0,40.0,0.45095761560571557,2743.6815243022497,3315.1088781826743
8,1,7.0,40.0,0.45490511868490635,2655.958058983799,3315.1088781826743
8,2,7.0,40.0,0.4094932934045138,3379.366415127532,3379.366415127532
8,3,10.0,40.0,0.5127771374287761,2021.791307478996,3379.366415127532
8,4,7.0,40.0,0.3773733127467487,1665.885595773155,3379.366415127532
8,5,7.0,40.0,0.48857301883935444,3231.0623694981928,3379.366415127532
8,6,7.0,40.0,0.3936963303842465,3141.673530558448,3379.366415127532
8,7,7.0,40.0,0.4872589724113424,3656.814465413907,3656.814465413907
8,8,7.0,40.0,0.3508557722535183,1536.1776814977607,3656.814465413907
8,9,7.0,40.0,0.4139216196883163,2610.0291243985102,3656.814465413907
9,0,7.0,40.0,0.5294587082152801,2366.0802262082275,3656.814465413907
9,1,7.0,40.0,0.4977834639120137,2243.1370563098803,3656.814465413907
9,2,7.0,40.0,0.4042360279565558,3213.3274141478364,3656.814465413907
9,3,10.0,40.0,0.5403013297241379,2025.8246947088403,3656.814465413907
9,4,7.0,40.0,0.5614421736840101,2053.519591394811,3656.814465413907
9,5,6.0,40.0,0.576684287646294,2501.2412050310604,3656.814465413907
9,6,7.0,40.0,0.5632006045021964,2072.89473145455,3656.814465413907
9,7,7.0,40.0,0.5555093196664764,1979.895529181722,3656.814465413907
9,8,7.0,40.0,0.6222156249257973,1380.7290979441232,3656.814465413907
9,9,7.0,40.0,0.48837440063516635,3231.0623694981928,3656.814465413907
10,0,7.0,40.0,0.5313800447329375,2191.167219908196,3656.814465413907
10,1,6.0,40.0,0.4729257016674662,2854.823765782941,3656.814465413907
10,2,7.0,40.0,0.47537480899156964,4015.118995882305,4015.118995882305
10,3,5.0,40.0,0.4171739368665639,1032.5909571418147,4015.118995882305
10,4,7.0,40.0,0.5947091516044755,1845.6154933231785,4015.118995882305
10,5,7.0,40.0,0.4848984368399358,3795.108089442937,4015.118995882305
10,6,7.0,40.0,0.4559522422320019,2663.5760674644484,4015.118995882305
10,7,7.0,40.0,0.46855478245194776,3750.1917401719606,4015.118995882305
10,8,7.0,40.0,0.36910802041158514,1549.7081966328878,4015.118995882305
10,9,7.0,40.0,0.5167737020598752,2547.9330968858753,4015.118995882305
11,0,7.0,40.0,0.4892183080859828,3231.0623694981928,4015.118995882305
11,1,6.0,40.0,0.46147182649250484,2541.97304286952,4015.118995882305
11,2,7.0,40.0,0.5109441995090765,2519.785359916675,4015.118995882305
11,3,5.0,40.0,0.3953800187932759,845.9194854337953,4015.118995882305
11,4,7.0,40.0,0.5425582313422854,2121.880853572839,4015.118995882305
11,5,8.0,40.0,0.4322909385396776,3960.2681591333317,4015.118995882305
11,6,7.0,40.0,0.3297723467658003,1369.9252342953146,4015.118995882305
11,7,7.0,40.0,0.42711440266235223,2583.4827048884686,4015.118995882305
11,8,7.0,40.0,0.32437983731958364,1205.368942191746,4015.118995882305
11,9,7.0,40.0,0.5163290680763795,2547.9330968858753,4015.118995882305
12,0,7.0,40.0,0.456191166212203,2496.217773965516,4015.118995882305
12,1,7.0,40.0,0.48928400007171824,3231.0623694981928,4015.118995882305
12,2,7.0,40.0,0.4365620221124954,3069.9291927065406,4015.118995882305
12,3,7.0,40.0,0.4526251012120143,2630.452894080328,4015.118995882305
12,4,7.0,40.0,0.49643691410831403,2255.259143079425,4015.118995882305
12,5,7.0,40.0,0.4632383735931512,3006.280154042967,4015.118995882305
12,6,7.0,40.0,0.5184342875028218,2547.9330968858753,4015.118995882305
12,7,7.0,40.0,0.4578483665636701,3004.161635732013,4015.118995882305
12,8,7.0,40.0,0.4515870853628004,2630.452894080328,4015.118995882305
12,9,7.0,40.0,0.4006878859817006,3201.858787290265,4015.118995882305
