Iteration,Particle_ID,Dim_0,Dim_1,Fitness,Best_So_far
0,0,17.0,58.0,4885.254078692431,4885.254078692431
0,1,30.0,61.0,4660.20103828077,4885.254078692431
0,2,38.0,79.0,13676.428719807855,13676.428719807855
0,3,6.0,78.0,8015.294666266918,13676.428719807855
0,4,19.0,54.0,3762.679903258336,13676.428719807855
0,5,48.0,81.0,14427.355463223535,14427.355463223535
0,6,36.0,89.0,18243.335662455727,18243.335662455727
0,7,38.0,58.0,2838.4932972822153,18243.335662455727
0,8,23.0,80.0,13466.472894988272,18243.335662455727
0,9,13.0,85.0,12092.92095146076,18243.335662455727
1,0,17.0,58.0,4885.254078692431,18243.335662455727
1,1,30.0,61.0,4660.20103828077,18243.335662455727
1,2,38.0,79.0,13676.428719807855,18243.335662455727
1,3,6.0,78.0,8015.294666266918,18243.335662455727
1,4,19.0,54.0,3762.679903258336,18243.335662455727
1,5,48.0,81.0,14427.355463223535,18243.335662455727
1,6,36.0,89.0,18243.335662455727,18243.335662455727
1,7,38.0,58.0,2838.4932972822153,18243.335662455727
1,8,23.0,80.0,13466.472894988272,18243.335662455727
1,9,13.0,85.0,12092.92095146076,18243.335662455727
2,0,22.0,66.0,8442.380009258704,18243.335662455727
2,1,32.0,69.0,8119.981331895946,18243.335662455727
2,2,35.0,90.0,17319.084847486854,18243.335662455727
2,3,44.0,92.0,18146.724702123916,18243.335662455727
2,4,27.0,70.0,7725.540088633245,18243.335662455727
2,5,33.0,91.0,16613.94383597333,18243.335662455727
2,6,36.0,89.0,18243.335662455727,18243.335662455727
2,7,36.0,93.0,17289.959448796508,18243.335662455727
2,8,33.0,87.0,12712.4414675241,18243.335662455727
2,9,39.0,89.0,15123.845436745836,18243.335662455727
3,0,29.0,77.0,12540.719179798149,18243.335662455727
3,1,33.0,75.0,15644.594724306573,18243.335662455727
3,2,34.0,95.0,15867.60554498535,18243.335662455727
3,3,50.0,95.0,18955.723904165083,18955.723904165083
3,4,32.0,81.0,14366.117981021558,18955.723904165083
3,5,27.0,95.0,14208.347177146818,18955.723904165083
3,6,36.0,89.0,18243.335662455727,18955.723904165083
3,7,35.0,100.0,19816.10508125589,19816.10508125589
3,8,26.0,82.0,13181.57545077086,19816.10508125589
3,9,50.0,91.0,19661.025724892057,19816.10508125589
4,0,35.0,94.0,16073.577365422638,19816.10508125589
