Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Fitness,Best_So_far
0,0,6.172547811459188,7.269909075293838,2.4568296882436957,7.0,1.0,6.0,0.4827943042493601,4.225416692404826,6.266901240040255,6.123710977060303,34.0,35.0,37.0,0.738348257493118,377.1331421310236,377.1331421310236
0,1,4.631083292514061,5.85961691566247,1.216502510039379,2.0,2.0,4.0,0.43519317658518797,0.3199890705225472,5.801356504928304,8.238804281480649,14.0,31.0,39.0,0.5683741802086109,550.0017609521632,550.0017609521632
0,2,9.883923813708396,2.891330890098166,3.097171911125045,9.0,1.0,5.0,0.505382063497116,2.1364998148688317,0.5938661968956671,4.330688757645165,18.0,40.0,12.0,0.6048280292812848,437.9588063721243,550.0017609521632
0,3,2.5624409036772544,5.6601418832127095,7.1431716546706046,3.0,8.0,4.0,0.31015100966135944,9.176845834381446,4.6067243243647615,1.7015080743822286,16.0,25.0,35.0,0.4985644962314254,399.5694193829409,550.0017609521632
0,4,5.767730957712129,0.9988509432606152,4.662028124591627,6.0,7.0,3.0,0.23669026621676292,6.492201667081008,1.1942895080078908,4.571147930467504,40.0,38.0,32.0,0.1893585335166993,535.31231151262,550.0017609521632
0,5,3.7681596317748323,8.436932273336078,1.7749013171017525,5.0,5.0,6.0,0.6709295654128087,3.45449666159051,8.313397247253928,6.95859253858429,34.0,17.0,34.0,0.7731659293324279,618.6403891547529,618.6403891547529
0,6,3.0691841398665787,7.946500459024075,9.778982184896048,6.0,7.0,6.0,0.33831234122279763,2.066222244320194,0.751956314736828,8.296352296142516,28.0,13.0,24.0,0.3674888251790269,12985.576671683919,12985.576671683919
0,7,5.518037120624584,4.83075286029089,4.536591573762049,7.0,4.0,9.0,0.8775190017656898,9.172826339944478,4.813277187115417,4.803531363522837,35.0,30.0,38.0,0.8324604704434689,2148.403252580144,12985.576671683919
0,8,9.519974167990192,0.07416335280615693,4.179289567102186,1.0,9.0,5.0,0.20056957696317168,6.580994757956628,5.676844973294607,3.364925447079632,22.0,18.0,31.0,0.10496829143263775,578.6249475393371,12985.576671683919
0,9,9.488007749007819,0.9167712059510658,3.2467955356204747,4.0,4.0,2.0,0.4192409967143367,1.0030648373414097,8.193321876821676,7.887242871441764,38.0,17.0,18.0,0.5265670675917336,872.6354895290742,12985.576671683919
